stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,spinal.cord,taste,vascular.smooth.muscle
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,3,0,0
 24-34,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,59.92,0,0.82,0,0,0,0,0,17.24,0,0
 36-46,0,1.61,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0.81,0,149.85,0,2.42,0,0,0,0,0,37.06,0,0
 48-58,0,0,0.57,0,4.02,0,0,0.57,0,0,0,0,0,0.57,0,1.15,0.57,175.58,0,2.3,0,0,0,0.57,0,18.36,0,0
 60-70,0,0.98,0,0,13.74,0,0.98,3.93,0,0,0.98,0,0,0,0,0,0,449.54,0,1.96,0,0,0,0.98,0,37.3,0,0
 72-82,0,1.96,1.96,0.98,49.08,0,0,5.89,0,0.98,0,0.98,0.98,0.98,0,3.93,0,394.63,0,2.94,0,0,0,0,0,24.54,0,0
 84-94,0,1.06,4.25,1.06,33.99,0,0,5.31,0,0,1.06,0,0,3.19,0,3.19,0,254.89,1.06,0,0,0,0,11.68,0,8.5,0,0
 96-106,0,2.19,0,0,27.32,0,0,2.19,1.09,0,0,0,0,2.19,1.09,2.19,0,175.95,0,3.28,2.19,0,2.19,6.56,0,7.65,2.19,1.09
108-118,0,1.53,1.53,0,22.98,0.77,0,5.36,0,0,0,0,0,1.53,0.77,3.83,0,190.72,0,2.3,0.77,0,2.3,3.06,0,6.13,3.06,0
120,0,3.92,1.96,0,17.64,0,0,7.84,0,0,0,0,0,3.92,0,0,0,213.62,0,3.92,0,0,0,1.96,0,7.84,0,0
