stage,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,11.49,21.34,0,0,1.64,0,0.82,0,0,6.57,0,1.64,0,0,0,19.7,0.82,0,0,2.46,0,0,0,0,4.1,0.82,0.82,0,0,0,0,0
 36-46,0,1.61,27.39,0,0,0,0,1.61,0,0,4.83,0.81,2.42,0,0,0,14.5,0,0,0,2.42,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,25.25,0,0,1.72,0,2.3,0,0,7.46,0,10.9,0,0,0,22.95,1.72,0,0,5.74,0,0.57,0,0.57,0.57,0,1.15,0,0,0,0,0
 60-70,0,0,56.93,0,0,0.98,0,3.93,0,0.98,5.89,0,11.78,0,0,0,46.13,2.94,0,0,9.82,0,0,0,0,0.98,0,0.98,0,0,0,0,0.98
 72-82,0.98,0,63.81,0.98,0.98,9.82,0.98,1.96,1.96,1.96,1.96,0,27.49,0,0,1.96,137.43,2.94,1.96,0.98,18.65,0,0,0.98,0.98,0.98,0,1.96,0,0,1.96,0.98,0
 84-94,1.06,0,113.64,3.19,3.19,3.19,0,6.37,0,2.12,11.68,0,19.12,0,1.06,0,469.42,1.06,2.12,0,21.24,1.06,0,0,1.06,2.12,0,0,0,0,0,0,0
 96-106,1.09,0,62.29,5.46,7.65,14.21,1.09,2.19,0,8.74,3.28,1.09,31.69,1.09,0,0,735.49,7.65,2.19,0,102.73,0,1.09,2.19,4.37,0,0,1.09,1.09,0,1.09,2.19,1.09
108-118,0,0.77,45.96,2.3,14.55,11.49,0.77,3.06,0,9.96,6.89,0.77,15.32,0,0,0.77,1432.35,13.02,0,1.53,68.94,0.77,0.77,1.53,1.53,0.77,0,0.77,0,0.77,2.3,0,0.77
120,0,0,33.32,1.96,3.92,5.88,0,1.96,0,9.8,1.96,0,15.68,0,0,0,744.72,11.76,0,0,54.87,0,0,0,7.84,0,0,0,1.96,0,0,0,0
