stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,42.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,5.26,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,49.95,2.63,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.32,6.29,0,0,12.59,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,0,0,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,2,76,0,2,0,0,0,0,2,0,3,49,0,0,0,0,1
 24-34,0,0,0.82,0,4.1,0,0,8.21,0,0,0,1.64,0,0,0,0,0,0,0,0,15.6,8.21,0,2.46,597.58,0,4.1,1.64,0,0,0,0.82,0.82,0.82,115.74,0,0,1.64,0,2.46
 36-46,0,0,0,0,0.81,0,0,48.34,0,0,0,11.28,0.81,0,0,0,0,0,0,0,16.92,12.89,0,0.81,1968.25,0,6.45,0,0,0,2.42,0,1.61,0,308.57,0,0,3.22,0,5.64
 48-58,0,0,0.57,0,4.02,1.15,0,189.36,0,2.87,2.87,36.15,0.57,0,0,0.57,0.57,1.15,0.57,0,13.77,33.85,0.57,1.72,2360.06,1.15,2.87,2.87,0,0,2.3,0,0,0,286.33,0,0,0.57,0,5.16
 60-70,0,0,0.98,0,2.94,0,0,371.02,0,0.98,3.93,22.58,0,0,0,0,0,0,0.98,0,0.98,66.74,3.93,4.91,3255.71,1.96,1.96,2.94,0,1.96,2.94,0,0,0,309.18,0,2.94,1.96,1.96,5.89
 72-82,0,0,2.94,0,11.78,3.93,0,317.08,0.98,1.96,2.94,56.94,0,0,1.96,0.98,0,0.98,0.98,2.94,4.91,101.11,0.98,2.94,2300.03,0,2.94,6.87,0,0,1.96,0,1.96,0,134.49,0,3.93,0.98,4.91,6.87
 84-94,0,0,1.06,0,9.56,1.06,0,248.52,1.06,1.06,5.31,43.54,3.19,0,0,2.12,2.12,2.12,1.06,0,10.62,65.85,6.37,2.12,1158.68,1.06,2.12,14.87,0,1.06,9.56,0,2.12,0,87.09,0,4.25,2.12,2.12,7.43
 96-106,0,0,1.09,0,14.21,4.37,0,128.96,0,0,0,32.79,1.09,0,4.37,0,1.09,3.28,0,1.09,5.46,57.92,2.19,2.19,842.58,2.19,3.28,5.46,0,2.19,0,0,0,0,41.53,1.09,4.37,1.09,4.37,4.37
108-118,0,0,1.53,0.77,13.79,2.3,0,90.38,0,0.77,2.3,16.09,1.53,0,0.77,1.53,0.77,3.83,0.77,0,6.89,35.23,3.83,0.77,929.11,0.77,3.06,5.36,0,2.3,0,0,0,0,19.92,0,0,0.77,3.06,1.53
120,0,0,0,0,15.68,5.88,1.96,84.27,0,3.92,0,29.4,0,0,0,0,0,0,1.96,0,1.96,29.4,0,3.92,787.83,1.96,1.96,9.8,0,0,1.96,0,1.96,0,17.64,0,0,0,1.96,3.92
