stage,axial,epidermis,eye,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,4,0,0,0
 24-34,0,1.64,0.82,0,0.82,0,1.64,0.82,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0.82
 36-46,0,0,0,0,0,0,0.81,0.81,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0.57,0,0,0,0,0,0,0.57,1.15,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0.98,0,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,2.94,2.94,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,4.25,0,1.06,0,0,6.37,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,4.37,1.09,4.37,0,0,6.56,0,0,0,0,0,0,0,2.19,0,0,0,0,0,0,0
108-118,0,1.53,0,1.53,0,0,3.83,1.53,0,0,0.77,0,0.77,0,0,0,0,0,0,1.53,0.77,0
120,0,0,1.96,1.96,0,0,5.88,1.96,0,0,0,0,0,0,0,0,0,0,0,3.92,0,0
