stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,0,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,15.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.54,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.06,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,20,1,0,0,0,0,1,0,2,1,0,2,2,0,0,0,0
 24-34,0,0,0.82,0,0,0,1.64,0,0,0,0,0,1.64,0,0.82,0,0,0,6.57,0,0,18.88,0,0,0,0,0,2.46,0,0,0,0,0.82,2.46,0,0,2.46,0
 36-46,0,0,0,0.81,0,0,1.61,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,0.81,16.92,0,0,0,0,0,1.61,0,0,0,0,0,3.22,0,0,0,0
 48-58,0,0,0,0.57,0,0,5.16,0,0,0.57,2.3,0,0,0,0,0,0,0,2.3,0,1.72,9.18,0,0,0,0,0,1.15,0,0,0,0.57,0,1.15,0,0.57,0.57,0
 60-70,0,0,0,0.98,0,0,16.69,0.98,0,0,2.94,0.98,0,0,0,0,0,0.98,6.87,0.98,0,19.63,0,0,0,0,0,0.98,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0,0,0.98,1.96,0,8.83,1.96,0,0,3.93,0,0,0.98,0,0,0,0.98,4.91,0,0.98,33.38,0,1.96,0,0,0,2.94,0,0,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,1.06,1.06,0,12.74,0,0,0,3.19,5.31,1.06,0,2.12,1.06,1.06,0,7.43,1.06,1.06,14.87,0,1.06,0,0,0,8.5,0,0,0,0,0,0,0,0,2.12,0
 96-106,0,0,0,2.19,2.19,0,9.84,0,0,1.09,5.46,2.19,0,2.19,0,0,1.09,0,4.37,0,0,10.93,0,2.19,2.19,0,0,4.37,0,0,0,0,0,0,1.09,0,1.09,2.19
108-118,0,0,0,6.13,0,0.77,9.19,0.77,0,0,3.83,0.77,0,0,1.53,0.77,0.77,0.77,10.72,0.77,3.06,17.62,0,1.53,0.77,0,0.77,4.6,0.77,0,2.3,0,0,0,0.77,0,3.83,0.77
120,0,0,0,5.88,0,0,9.8,0,1.96,0,3.92,1.96,0,1.96,0,0,0,1.96,3.92,0,7.84,21.56,1.96,0,1.96,0,0,9.8,0,0,3.92,0,0,0,0,0,3.92,1.96
