stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,36.78,631.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,18.4,0,0,15.77,0,0,0,0,0,10.51,0,0,0,0,0,0,0,202.41,0,0,0,76.23,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,9.44,3.15,0,0,9.44,0,0,0,0,0,6.29,0,0,0,0,0,0,0,135.32,0,0,0,56.65,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,4,0,0,0,0,0,5,0,0,0,0,0,1,2,0,3,34,1,1,0,0,0,0,0,3,0,0,4,10,0,0,0
 24-34,0,0,0.82,0.82,0.82,9.03,0,0.82,0.82,1.64,0,0,0,0,0,0.82,4.1,0,1.64,73.88,1.64,0.82,1.64,0,0.82,4.1,0,0,1.64,0,0.82,16.42,1.64,0,0
 36-46,0,0,0,0.81,0,5.64,0,0,0,3.22,0,0,0,0,0,0,7.25,0,0,72.51,0,0.81,0.81,0,0,4.83,0,0,0,0,0,12.89,0,0,0
 48-58,0,0,0,0.57,0,21.23,0,0,0,4.02,0,0,0,0,0.57,0,11.48,0,1.72,79.76,0,1.72,0,0,0,2.87,0,0,0,0.57,0,13.77,1.72,0,0
 60-70,0,0,0,1.96,0,22.58,0,0,0,2.94,0,0,0,0,0,0,12.76,0,0.98,95.21,0,0,0.98,0,0,0,0,0,0.98,0,0,9.82,1.96,0,0
 72-82,0,0,0,2.94,0,27.49,0,0,0.98,4.91,0.98,0,0,0,0,0.98,12.76,0,0.98,59.88,0,0.98,0,0,0,0.98,0,0,0,0,0,3.93,5.89,0.98,0
 84-94,0,0,0,2.12,0,15.93,0,0,0,2.12,0,0,0,0,0,0,8.5,1.06,1.06,29.74,0,1.06,0,0,0,7.43,0,0,0,0,0,5.31,1.06,1.06,0
 96-106,0,0,0,2.19,1.09,16.39,0,0,1.09,3.28,0,0,0,0,0,0,12.02,1.09,0,32.79,0,0,1.09,0,0,4.37,0,0,0,0,0,3.28,0,1.09,0
108-118,0,0,0,4.6,0,9.19,0.77,0,0,1.53,1.53,0,0,0.77,0.77,0.77,8.43,0,1.53,28.34,0,0,0,0,0,4.6,0,0,0,0,0,0.77,0.77,0,1.53
120,0,0,0,3.92,0,5.88,0,0,0,3.92,0,0,1.96,3.92,1.96,0,17.64,0,0,41.16,1.96,0,1.96,0,0,3.92,0,0,1.96,0,0,1.96,0,0,0
