stage,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,ionocyte,mesenchyme,mucous,mural.cell,muscle,neural,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,visceral.smooth.muscle
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0
 14-21,1,0,1,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,1,0,0
 24-34,0,1.64,0,0,0,0,0,0,0.82,0,0,0,1.64,0,0,0,0,0,0.82,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,2.42,3.22,0,0,0,0,0,0.81,0,0
 48-58,0,0,0,0.57,0.57,0,0,0,3.44,0.57,0,0,2.87,0,0,0,0,0,1.15,0,0
 60-70,0,0,0,0,0,0,0.98,0,8.83,0.98,0.98,5.89,7.85,0,0,0,0,0,1.96,0,0
 72-82,0,0.98,0,3.93,0,0.98,1.96,0,12.76,0.98,4.91,0.98,11.78,0,0,0,0,0,3.93,0,1.96
 84-94,0,4.25,0,0,0,1.06,0,0,8.5,0,4.25,2.12,5.31,0,0,1.06,0,0,1.06,1.06,1.06
 96-106,0,2.19,0,2.19,1.09,0,2.19,0,20.76,2.19,3.28,3.28,15.3,0,1.09,0,0,0,0,0,3.28
108-118,0,5.36,0,0.77,3.06,0,5.36,0,14.55,0.77,3.06,0.77,4.6,0,0,0,0,0.77,0.77,0,0.77
120,0,9.8,0,3.92,3.92,0,0,0,19.6,1.96,1.96,3.92,7.84,0,0,0,0,0,0,0,1.96
