stage,epidermis,eye,fast_muscle,fin_epithelia,glial,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,slow_muscle,somites,spinal_cord,visceral_smooth_muscle,xanthophores
 14-21,2,0,0,0,0,0,0,0,1,0,0,0,0,0,2,3,0,0,0
 24-34,1.64,0.82,0,0,0,0,0.82,0,0.82,4.1,0,0,0,0,0,2.46,4.93,0,0
 36-46,1.61,0.81,1.61,0,0,0,0.81,0,0,5.64,0,0,0,1.61,0,0,1.61,0,0
 48-58,0,1.72,1.72,0,0,0,1.15,0,0,10.9,0,0,0,0,0,0,1.72,0,0
 60-70,0.98,3.93,2.94,0,0,0,0.98,0,0,7.85,0.98,0,0,0,0.98,0,1.96,0,0
 72-82,0,4.91,3.93,0,1.96,0,2.94,0.98,0,6.87,0,0,0.98,0.98,0,0,0.98,0,0
 84-94,0,4.25,1.06,1.06,0,1.06,1.06,0,0,5.31,1.06,0,0,1.06,4.25,0,0,1.06,0
 96-106,2.19,2.19,1.09,0,0,0,2.19,0,0,5.46,0,1.09,0,1.09,2.19,0,0,0,0
108-118,1.53,1.53,2.3,0,0.77,0,1.53,0,1.53,5.36,0,0,0,0.77,4.6,0,0,0.77,0.77
120,0,0,9.8,1.96,0,0,1.96,0,0,5.88,0,0,0,0,0,0,0,0,0
