stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,0,237.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,18.39,281.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,5.26,0,0,0,10.51,0,0,0,0,10.51,0,0,0,0,0,0,0,0,118.29,2.63,0,0,47.32,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,12.59,0,0,0,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,141.61,0,0,0,75.53,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,1,3,0,2,0,0,0,0,0,0,0,0,0,6,0,0,2,40,0,0,0,4,1,6,0,5,14,0,0,0,0
 24-34,0,0,0,0.82,0.82,0,17.24,0,0,1.64,2.46,0,0,0,0,0.82,3.28,0,0,1.64,102.61,0,0,0,0,1.64,0,0.82,2.46,19.7,0,0,0,0
 36-46,0,0,0,0,0,0,31.42,0,0,1.61,0,0,0,0,0.81,0,4.83,0,0,1.61,102.32,0,0.81,0.81,0,1.61,0,0,0,20.95,0,0,0.81,0.81
 48-58,0,0,0,0.57,0,0,36.72,0.57,1.15,4.02,0,0,0,0,0,0,6.89,0,0.57,1.15,79.76,0,0,0,0,0,0,0,0,6.89,0,0,0,0
 60-70,0,0,0,3.93,0.98,0,43.19,0,0,1.96,0,0,0,0,0,0,4.91,0,0,1.96,61.84,0,1.96,0.98,0,1.96,0,0,0,3.93,0,0,0.98,1.96
 72-82,0,0,0,0.98,13.74,0,21.6,0,0,6.87,0,0,0,0,0,0,11.78,0,0.98,1.96,52.03,0,0,0.98,0,2.94,0,0,0,1.96,0,0.98,0.98,0
 84-94,0,0,0,1.06,4.25,1.06,20.18,1.06,0,3.19,0,0,1.06,1.06,0,0,9.56,0,0,1.06,27.61,0,1.06,0,0,0,0,0,0,2.12,0,0,0,0
 96-106,0,0,0,0,2.19,1.09,14.21,0,0,6.56,0,0,1.09,0,0,0,8.74,0,0,0,27.32,0,1.09,1.09,0,2.19,0,0,0,0,0,0,1.09,0
108-118,0,0,0,1.53,3.83,0.77,13.02,0,0.77,2.3,0.77,0,0,0,0.77,0,7.66,0.77,0.77,0,26.81,0,0,0.77,0,0,0,0,0,2.3,0,0,0,0
120,0,0,0,1.96,5.88,0,5.88,0,0,5.88,0,0,0,0,3.92,0,7.84,0,0,1.96,21.56,0,0,0,0,0,0,0,0,0,1.96,0,0,0
