stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,7,0,0,0,0,0,15,0,0,0,0,0,2,0,0,1,6,1,0,0,0,0,19,4,1,2,1,0,0,0,0
 24-34,0,0,0.82,1.64,0.82,1.64,0,0,0,11.49,0,0,0,0,0,2.46,0.82,0,2.46,22.98,0,0,0,0,0.82,41.04,0,1.64,0,2.46,0,0,0,0.82
 36-46,0,0,0,0,0,3.22,0,1.61,0,9.67,0,0,1.61,0,0,1.61,0,0,0.81,8.06,0,0,0,0.81,0,12.89,0,0,0,2.42,0,0,0,0
 48-58,0.57,0,0,1.15,0.57,3.44,0,0.57,0,5.16,0,0,0,0,0,4.59,0,0.57,2.3,10.33,0,0,0,0,0,1.72,0,0,0,1.72,0,0,0,0
 60-70,0,0,0,0.98,0,13.74,0,0.98,0,6.87,0,0,0.98,0,0,6.87,0,0,0,24.54,0,0,0,0,0,4.91,0,0,0,4.91,0.98,0,7.85,0
 72-82,0,0,0,3.93,0,23.56,0,1.96,0,4.91,0,0.98,0.98,0,0,6.87,0,6.87,0,39.27,0,0,2.94,0,1.96,0,0,0,0,2.94,1.96,0.98,35.34,0
 84-94,0,0,0,0,1.06,22.3,0,2.12,0,4.25,0,0,2.12,0,1.06,5.31,0,3.19,0,35.05,0,0,1.06,0,1.06,0,0,0,0,0,12.74,0,40.36,0
 96-106,0,0,0,6.56,1.09,21.86,1.09,0,3.28,9.84,2.19,1.09,2.19,2.19,0,8.74,0,4.37,2.19,14.21,0,0,1.09,0,3.28,0,0,0,0,2.19,5.46,0,41.53,0
108-118,0,0,0,6.89,0,20.68,0,3.06,0,7.66,0,0,1.53,0,0,4.6,0,1.53,0,31.4,0,1.53,0.77,0,1.53,0,0,1.53,0,0,1.53,0,24.51,0.77
120,0,0,0,5.88,0,5.88,1.96,3.92,0,3.92,0,0,0,1.96,0,11.76,0,3.92,0,37.24,0,0,0,0,3.92,0,0,0,0,1.96,0,0,19.6,1.96
