stage,blastomeres,endoderm,eye,fin.epithelia,glial,heart,mesenchyme,muscle,neural,olfactory,paraxial.mesoderm,periderm,pronephros,spinal.cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,12.59,0,9.44,0,0,0
 14-21,0,1,0,0,0,0,0,0,3,0,0,0,0,1
 24-34,0,0,0.82,0.82,0,0.82,0,0,14.78,0.82,0,0,0,0.82
 36-46,0,0,0.81,0,0,0,0.81,0.81,8.06,0,0,0.81,0,4.03
 48-58,0,0,2.3,0,1.15,0,0,0,6.31,0,0,0,0,0
 60-70,0,0,2.94,0,2.94,0,2.94,0,5.89,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,0.98,0,3.93,0,0,0,0,0
 84-94,0,0,5.31,0,0,0,1.06,0,2.12,0,0,0,0,2.12
 96-106,0,0,3.28,0,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0,0,0.77,0,0,0,0.77,0
