stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,glial,gut,heart,immune,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,visceral.smooth.muscle
  3-4,0,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,23,1,0,0
 24-34,0,0,0,0,0,12.31,0,0,0,0,0,0,0,0,0.82,3.28,0,0,0,0,0,0,0,11.49,0.82,0,0
 36-46,0,0,0.81,0,0,16.11,0,0,8.86,0,0,0,0,0,0,7.25,0,0,0.81,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0.57,0.57,0,30.41,0,0,11.48,0,0,0,0.57,0,0,18.36,0.57,0,0,0,0,0,0,0,5.74,0,0
 60-70,0,0,0,0,0,277.77,0,0,10.8,0,0,0,0,0,0.98,14.72,0,0,0,0.98,0,0,0,0,6.87,0,0
 72-82,0,0,0,4.91,0,750.97,0,0,12.76,0,0,0,6.87,0.98,1.96,40.25,0,0,0,0,0,0,0,0,1.96,0.98,0
 84-94,0,0,0,6.37,1.06,708.38,1.06,0,7.43,0,0,1.06,3.19,1.06,0,14.87,1.06,1.06,0,2.12,0,1.06,0,0,3.19,1.06,1.06
 96-106,0,0,0,1.09,3.28,504.9,0,0,3.28,1.09,1.09,0,1.09,0,0,20.76,0,0,0,0,0,0,0,0,0,0,0
108-118,0.77,0,0,3.06,0,369.96,0,0.77,2.3,0,0,0.77,1.53,0,0,16.85,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,5.88,3.92,535.02,0,0,7.84,0,0,1.96,1.96,0,1.96,33.32,0,0,0,1.96,0,1.96,0,0,0,0,0
