stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,heart,ionocyte,iridophores,lateral.line,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,11,0,8,0,0,0,0,0,0,0,2,8,0,0,9,30,0,1,1,0,0,1,0,6,17,0,0,0,6
 24-34,0,0,0.82,6.57,0,2.46,0.82,0,0.82,0.82,0,1.64,0.82,4.93,11.49,0,0,4.93,36.94,0.82,0,4.1,0,0,0,0,0,9.85,0,0.82,0,15.6
 36-46,0,0,0,2.42,0,2.42,0,0,0,0.81,0,0,0,0.81,8.06,0,0.81,2.42,40.28,0,0.81,5.64,0,0,0,0,0,4.03,0.81,0,0,9.67
 48-58,0,0,0.57,7.46,0,6.89,0,1.72,0,0.57,0,0,0,4.02,6.31,0.57,6.31,1.15,43.61,0,0.57,8.03,0,0,0,0.57,0,8.03,0.57,0,0,4.02
 60-70,0,0,0,7.85,0,15.7,2.94,2.94,0,0,0,0,0,0.98,15.7,0,5.89,0.98,84.41,0,0,8.83,0,0.98,0,0,0,8.83,0.98,0,0,4.91
 72-82,0,0.98,0,19.63,0.98,21.6,0,13.74,0,0,0,0.98,0.98,0,18.65,0.98,6.87,1.96,83.44,0.98,0,14.72,0.98,0,0,0,0,10.8,0,0,3.93,2.94
 84-94,0,0,0,48.85,0,21.24,8.5,4.25,0,0,1.06,0,1.06,4.25,14.87,1.06,6.37,0,54.16,1.06,0,14.87,0,3.19,0,0,0,6.37,2.12,0,8.5,8.5
 96-106,0,0,0,72.13,0,15.3,3.28,28.41,2.19,0,0,0,1.09,0,18.58,1.09,2.19,3.28,69.94,2.19,2.19,22.95,1.09,1.09,0,0,0,2.19,2.19,1.09,2.19,5.46
108-118,0.77,0.77,0,70.47,0,12.26,9.96,19.15,1.53,0.77,0.77,1.53,0.77,2.3,10.72,0,3.06,0.77,75.83,0,0.77,22.98,1.53,0.77,0,0,0,3.83,0.77,0,1.53,5.36
120,0,0,0,37.24,1.96,13.72,19.6,7.84,0,0,0,0,0,0,17.64,1.96,3.92,1.96,68.59,0,0,21.56,0,1.96,0,0,0,3.92,0,0,5.88,0
