stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,vasculature,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0
 14-21,0,1,1,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,1,8,0,0
 24-34,0,0,0.82,0,0.82,0,0,0,0,0,0,1.64,0,2.46,22.98,0.82,0,0,0,10.67,0.82,0
 36-46,0,0,0,0,1.61,0,0,0,0,0,0.81,2.42,0,0,28.2,0,0,0,0,9.67,0,0
 48-58,0,0,0.57,0,6.31,0,0,1.72,0,0,0,2.3,0,0,46.48,0,0,0.57,0,11.48,0.57,0
 60-70,0,0,0,0,8.83,0,0,0,0,0,0,1.96,0,0,56.93,0,0.98,0,0,11.78,0,0
 72-82,0,0,0.98,0,6.87,0,0.98,2.94,0,0,0,0,0.98,0.98,25.52,0,0,0,0.98,5.89,0.98,0
 84-94,0,0,0,0,3.19,0,0,1.06,0,0,0,4.25,0,0,16.99,0,0,0,0,2.12,1.06,0
 96-106,0,0,2.19,0,8.74,0,0,0,1.09,0,0,0,0,0,14.21,0,1.09,1.09,2.19,2.19,0,0
108-118,0,0,0,0,3.83,0.77,0,1.53,0,0.77,0,1.53,0,0.77,7.66,0,0.77,0,0.77,0.77,0,0.77
120,0,0,0,1.96,1.96,0,0,5.88,0,0,0,1.96,0,0,17.64,0,0,0,0,1.96,1.96,0
