stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,glial,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,21.03,0,0,0,5.26,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,6.29,3.15,0,0,0
 14-21,0,2,0,0,0,2,0,0,0,0,1,1,0,0,20,0,0,0,0,0,5,1,14
 24-34,0,0.82,0,4.1,0,9.03,0,0.82,0,0,0,4.1,0,0,38.58,0,1.64,0,0,1.64,0.82,0.82,6.57
 36-46,0,0.81,0,2.42,0,7.25,0,0,0,0,0,1.61,0,0,29,0,0,0,0,0,0.81,0,12.89
 48-58,0,0,0,5.74,0,5.74,0,0,0,0.57,0,4.02,1.15,0,17.79,0,1.15,0,0,0,0,0,12.62
 60-70,0,0.98,0,9.82,0,6.87,0,0,0.98,0,0,5.89,0,0,20.61,0.98,0.98,0,0,0.98,0.98,0,3.93
 72-82,0,0.98,0,4.91,0,7.85,0,0,0,0,0,2.94,0,0.98,15.71,0,1.96,2.94,0,0,0,0,3.93
 84-94,0,2.12,0,4.25,0,2.12,0,0,0,0,0,3.19,0,1.06,8.5,0,0,3.19,0,0,0,0,2.12
 96-106,0,0,1.09,1.09,1.09,2.19,0,0,0,0,0,1.09,0,0,3.28,0,1.09,2.19,0,0,0,0,1.09
108-118,0,1.53,0,0.77,0,3.06,0,0,0,0,0,1.53,0,1.53,3.83,0,0.77,0.77,0,0.77,0.77,0,1.53
120,0,0,0,1.96,0,3.92,5.88,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0,0
