stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0
 14-21,1,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,35,1,0,3,1,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,0,0,19.7,0,0.82,0,0,44.33,0,0,3.28,0,3.28,0,0,0.82,0,0
 36-46,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,2.42,0.81,0,1.61,16.11,0,2.42,0,0,42.7,0,0,1.61,0,2.42,0,0,0,0,0
 48-58,0,0,2.87,0,0,4.59,0.57,1.72,0,0,0,1.15,0,0,0.57,0,0,0,0,1.15,0.57,0,0,16.64,0,2.87,0.57,0,43.61,0,0,2.3,0,1.72,0,0,0,0,0.57
 60-70,0,0,3.93,0,0,13.74,0,1.96,0,0,0,0,0,0,0,0,0.98,0,0,1.96,1.96,0,0,29.45,0,2.94,0,0,148.21,0,0,2.94,0,1.96,0,0,0,0,0
 72-82,0,0,29.45,3.93,0,54.97,0.98,10.8,5.89,21.6,0.98,0,1.96,1.96,1.96,2.94,0.98,1.96,0,26.5,4.91,2.94,2.94,182.59,0.98,11.78,0.98,0.98,472.18,0,0,1.96,0,6.87,1.96,1.96,10.8,1.96,3.93
 84-94,0,0,45.67,2.12,1.06,32.92,2.12,39.3,1.06,9.56,6.37,1.06,1.06,2.12,20.18,2.12,0,1.06,0,23.36,10.62,0,4.25,61.6,0,8.5,0,0,1668.46,0,2.12,1.06,0,2.12,3.19,0,5.31,0,2.12
 96-106,4.37,0,187.97,40.44,8.74,170.48,7.65,57.92,6.56,85.24,26.23,0,4.37,22.95,46.99,3.28,10.93,28.41,0,125.68,22.95,10.93,14.21,433.86,3.28,27.32,8.74,4.37,2237.06,0,1.09,4.37,0,8.74,13.11,9.84,21.86,15.3,5.46
108-118,1.53,0.77,188.43,16.85,16.09,120.26,5.36,114.13,5.36,36.77,22.98,0,2.3,9.96,54.38,6.13,3.83,9.96,3.06,122.55,45.96,5.36,21.45,320.17,4.6,18.38,7.66,3.06,2693.13,0,2.3,2.3,0,6.89,14.55,1.53,14.55,4.6,8.43
120,0,0,154.82,15.68,5.88,82.31,0,54.87,1.96,35.28,13.72,1.96,1.96,17.64,15.68,3.92,3.92,5.88,1.96,80.35,25.48,0,17.64,258.69,1.96,11.76,13.72,0,1248.38,0,1.96,0,0,5.88,1.96,1.96,13.72,1.96,5.88
