stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,7.25,0,0,0,0,0,0,0,3.22,0,0.81,0,0
 48-58,0,0,0.57,0,2.3,0,0,0.57,2.3,0,0,0,0,0.57,0.57,2.87,0,0,5.16,0,0,0,0,0,0,0,2.3,0,0,0,0
 60-70,0,0,3.93,0,0,0,0,0,7.85,1.96,0,0,0,0,0.98,11.78,0.98,0.98,8.83,0,0,0,0,0,0,0,3.93,0,0,0,0
 72-82,0,0.98,4.91,0,8.83,0,1.96,0.98,20.61,16.69,0,0,0,1.96,4.91,37.3,1.96,0.98,22.58,0,0.98,0,0,0,0,0,3.93,0,0.98,0,0
 84-94,0,0,11.68,0,5.31,0,5.31,1.06,10.62,24.43,0,0,0,1.06,6.37,19.12,0,1.06,13.81,0,1.06,0,0,0,0,1.06,4.25,0,1.06,0,0
 96-106,0,0,14.21,2.19,9.84,0,3.28,2.19,18.58,34.97,0,0,0,1.09,10.93,32.79,0,1.09,31.69,1.09,1.09,3.28,0,0,3.28,0,6.56,1.09,1.09,1.09,0
108-118,0,0,21.45,0.77,5.36,0.77,6.89,0,16.09,20.68,0,0.77,0.77,0.77,16.85,49.79,1.53,2.3,42.89,0,0.77,0.77,0,0.77,0.77,0.77,3.83,1.53,2.3,0.77,0.77
120,0,0,13.72,0,3.92,0,3.92,0,21.56,17.64,0,0,0,0,19.6,29.4,0,0,37.24,0,0,0,0,0,1.96,1.96,1.96,0,0,1.96,0
