stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,heart,immune,ionocyte,liver,mesenchyme,muscle,neural,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,18.4,0,5.26,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0.82,0,0.82,0,0,0,0,0,0,0,1.64
 36-46,0,0,0,0.81,0,0,0,0,0,0,0,0,0,4.03,0,0,0,0,0,0,3.22,0
 48-58,0,0.57,0,0,0.57,0,0.57,0,0,0,0,0,0,4.02,0,0,0.57,0,0,0,1.15,0
 60-70,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0,3.93,0.98,0,0,0,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,0,1.06,0,0,0,0,0,0,0,0,0,0,0,1.06,0
 96-106,0,2.19,0,1.09,0,0,0,1.09,0,0,0,1.09,0,1.09,0,0,2.19,0,0,0,0,0
108-118,0,0.77,0.77,0,0,0,0,0,0,0,2.3,0,0,0.77,0.77,0,0.77,0,0.77,0,0,0
