stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,303.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,398.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,10.51,0,18.4,0,0,0,28.92,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,184.01,5.26,0,0,81.49,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103.85,6.29,0,0,53.5,0,9.44,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,0,4,41,0,0,0,0,0,0,8,0,0,6,17,0,1,0,0
 24-34,0,0,0,0.82,3.28,0,0,11.49,0,0,0.82,1.64,0,0,0.82,0.82,0,0,0,1.64,0,9.03,0,1.64,2.46,94.4,0,2.46,3.28,0,5.75,0,0,0,0.82,2.46,13.95,0,4.1,0,0
 36-46,0,0,0,0,4.03,0.81,0,18.53,0,0,0.81,3.22,0,0,0.81,0,0,0,0,0,0,12.09,0,0,3.22,88.62,0,0.81,0,0,0.81,0.81,0,0.81,0,0,16.92,0,2.42,0,0.81
 48-58,0,0,0,0,2.3,0,0,20.08,0,0,0,7.46,0,0.57,0.57,0.57,0,0,0,0,0.57,14.92,0.57,0,5.74,72.3,1.15,0.57,0.57,0,4.02,0,0,0,0,0,20.66,0,1.15,0,0.57
 60-70,0,0,0,0,1.96,0.98,0,23.56,0,0,0.98,9.82,1.96,0,0.98,0.98,0,0.98,0.98,0,0,15.7,0,0.98,1.96,81.47,0,1.96,0,0,6.87,0,0.98,0.98,0,0,10.8,0.98,0,0,0.98
 72-82,0,0,0,0,1.96,1.96,0,31.41,0,0,0.98,4.91,0,0,0,0.98,0,0,1.96,0,0,30.43,0,0,2.94,55.95,0,1.96,0.98,0,7.85,0,0,0,0,0,10.8,0,2.94,0,0
 84-94,0,0,0,0,3.19,0,0,26.55,0,2.12,0,9.56,0,0,2.12,1.06,2.12,0,0,0,0,9.56,0,0,4.25,29.74,1.06,0,2.12,0,16.99,0,0,2.12,1.06,0,5.31,1.06,8.5,0,0
 96-106,0,0,1.09,0,8.74,1.09,1.09,17.49,1.09,0,2.19,10.93,1.09,0,1.09,0,0,1.09,0,0,0,19.67,0,0,2.19,21.86,1.09,0,2.19,0,22.95,0,0,0,0,0,5.46,1.09,2.19,1.09,4.37
108-118,0,0,0,0.77,4.6,1.53,0,14.55,1.53,1.53,0.77,10.72,0.77,0,0,2.3,0.77,2.3,0,0,2.3,16.09,0.77,0,4.6,39.06,0,0,0.77,0,9.96,0,0,0.77,0.77,0,1.53,0,1.53,0,0.77
120,0,0,0,0,17.64,5.88,0,19.6,3.92,1.96,0,11.76,1.96,0,0,5.88,0,0,1.96,3.92,0,23.52,0,1.96,11.76,52.91,1.96,1.96,1.96,0,19.6,0,0,0,0,0,5.88,1.96,9.8,0,1.96
