stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,exocrine.pancreas,eye,fin.epithelia,glial,hatching.gland,lateral.line,mesenchyme,muscle,neural,otic,paraxial.mesoderm,pericytes,somites,spinal.cord,vasculature
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,2.63,0,0,0,2.63,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,1.64,0.82,16.42,0.82,0,0,0.82,0.82,0.82
 36-46,0,0,0,0,0,0,1.61,0,1.61,0,0,0.81,0.81,22.56,0,0,0,0,4.03,0
 48-58,0,0,0,0,0,0,1.72,0.57,0.57,0,0,2.87,0,10.9,0,0,0,0,3.44,0
 60-70,0,0,0,0,0.98,0,0.98,0,1.96,0,0,0.98,0,13.74,0,0,0,0,0.98,0
 72-82,0,0,0,0,0.98,0,1.96,0,1.96,0,0,2.94,0,14.72,0,0,0,0,1.96,0
 84-94,0,0,0,0,0,1.06,3.19,0,0,0,0,1.06,1.06,6.37,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,3.28,0,0,0,1.09,2.19,0,7.65,0,0,0,0,0,0
108-118,0,0,0.77,0,0,0,0.77,0,0,0,0,0.77,0,4.6,0,0,0.77,0,0,0
120,0,0,0,0,0,0,3.92,0,1.96,0,0,0,0,5.88,0,0,0,0,0,0
