stage,blastomeres,epidermis,eye,glial,immune,mesenchyme,mucous,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vascular_smooth_muscle,vasculature
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,2.63,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,9.85,0.82,0.82,0,1.64,3.28,0,1.64
 36-46,0,0,1.61,0.81,0,1.61,0,2.42,0,0,0,0,0.81,0,0.81
 48-58,0,0.57,0,1.15,0,0.57,0,0.57,0,0,0,0,0,0,0
 60-70,0,0,1.96,0.98,0,1.96,0,0.98,0,0,0,0.98,0,0.98,0
 72-82,0,0,0,0,0,0,0,0,0,0,0,0.98,0.98,0,0
 84-94,0,0,2.12,0,0,0,0,1.06,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,1.09,1.09,0,0,0,0,0,6.56,0,0,0
108-118,0,0,0,0,0,0.77,0.77,0,0,0,0,0.77,0,0,0
120,0,0,0,0,0,0,0,1.96,0,0,0,1.96,0,0,1.96
