stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,hatching_gland,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,5.26,0,0,7.89,0,0,5.26,0,0,0,0,0,26.29,2.63,0,13.14,0,0,0,0,0,0
 10-12,3.15,6.29,0,0,3.15,0,0,0,0,0,0,0,0,15.73,0,0,6.29,0,0,0,0,0,0
 14-21,0,1,1,1,1,0,2,0,0,0,2,0,1,15,0,0,1,0,1,1,9,0,0
 24-34,0,0,0.82,0,2.46,0,0,0,0,0,0.82,0,0,22.16,0,0,0,0.82,0,0,4.93,0,0
 36-46,0,0,0,0,3.22,0,0,0,0,0,0.81,0,0.81,8.06,0,0,0,0.81,0,0,3.22,0,0
 48-58,0,0,0,0,2.3,0,1.15,0,0,0,0.57,0,0.57,7.46,0,0,0,0,0,0,1.72,0,0
 60-70,0,0,0.98,0,1.96,0.98,0.98,0,0,0,0.98,0,0,2.94,0,0,0,0.98,0,0,0,0,0
 72-82,0,0,0,0,5.89,0.98,0.98,0,0,0,3.93,0.98,0.98,6.87,0,0,0,0.98,0,0,0,0.98,0.98
 84-94,0,0,3.19,0,1.06,0,0,0,1.06,0,3.19,0,0,4.25,0,0,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,1.09,0,1.09,0,0,0,5.46,0,0,2.19,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0.77,0,3.06,0,0,0,0,0.77,5.36,0,0,6.89,0,0.77,0,0,0,0,0,0,0
120,0,0,0,0,7.84,0,1.96,0,0,0,0,0,1.96,3.92,0,0,0,0,0,0,0,0,0
