stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,487.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,373.91,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,65.72,0,0,0,10.51,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,44.06,0,0,0,0,0,0,0,0,0,0,28.32,9.44,0,0,3.15,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,13,8,0,0,0,0,0,0,1,80,0,0,3,0,0,0,4,1,0,1,8,6,0,1,0,0,98,0,1,1,0,0,8,0,0,3,0,1
 24-34,0,0,0,0.82,33.66,3.28,0,2.46,0,7.39,0,0.82,0.82,34.48,2.46,4.1,9.03,0,0,0,9.85,30.37,0,4.1,42.68,7.39,4.1,4.1,0,0,311.93,0,0,1.64,0,0.82,9.03,0,0,2.46,0,0
 36-46,0,0,0,0,20.14,0,0,2.42,0,10.47,0.81,1.61,0,8.86,0,1.61,7.25,0,0,0.81,8.86,45.92,0.81,2.42,66.06,12.09,1.61,3.22,0,0,245.73,0,0,3.22,0,0,6.45,0,0.81,0.81,0.81,0.81
 48-58,0,0,0,0,18.36,0.57,0,6.89,0,12.62,2.3,3.44,1.72,8.03,1.72,2.87,6.89,0,3.44,0,8.03,47.63,0.57,1.15,67.14,5.74,2.3,5.16,0,0,210.59,0,0,0.57,0,0,9.18,0,1.15,1.15,0,0
 60-70,0,0,0,0,31.41,0,0,6.87,0,9.82,1.96,19.63,2.94,1.96,1.96,8.83,4.91,0,4.91,0.98,25.52,47.11,2.94,0,120.73,1.96,0.98,1.96,0,0.98,200.23,0,0,3.93,0,0,7.85,3.93,2.94,4.91,1.96,0
 72-82,0,0,3.93,0.98,42.21,2.94,0,17.67,0,13.74,0,32.39,24.54,5.89,5.89,16.69,6.87,0,12.76,0,59.88,86.39,6.87,0.98,233.64,3.93,2.94,18.65,0,2.94,159.03,0,0,1.96,0,0,13.74,29.45,5.89,4.91,15.71,0
 84-94,1.06,0,3.19,0,82.84,3.19,1.06,19.12,0,28.68,1.06,15.93,65.85,8.5,5.31,24.43,14.87,1.06,7.43,3.19,39.3,91.34,5.31,1.06,118.95,6.37,7.43,28.68,0,0,389.77,0,0,9.56,1.06,0,4.25,122.13,5.31,3.19,9.56,0
 96-106,0,0,0,0,116.93,4.37,0,24.04,1.09,17.49,2.19,24.04,80.87,1.09,7.65,40.44,12.02,1.09,25.14,9.84,46.99,122.4,7.65,3.28,143.16,4.37,7.65,27.32,0,4.37,238.24,1.09,0,4.37,0,0,6.56,196.71,6.56,10.93,10.93,1.09
108-118,0,0,0,0.77,113.36,1.53,3.06,19.15,0,26.04,1.53,15.32,108,0,6.13,35.23,26.04,0,19.15,6.89,31.4,114.13,3.06,2.3,124.09,6.13,3.06,15.32,0,3.83,191.49,0,0,7.66,0,0,3.06,218.3,3.83,6.13,8.43,0
120,0,0,0,0,127.39,13.72,0,29.4,0,29.4,0,17.64,97.99,0,3.92,70.55,11.76,0,17.64,1.96,31.36,70.55,11.76,5.88,217.54,13.72,5.88,13.72,0,3.92,117.59,0,0,9.8,0,0,9.8,72.51,3.92,13.72,9.8,0
