stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,276.74,7155.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.63,0,0,0,0,0,0,0,0,0,0
  5-6,404.56,4333.65,0,6.13,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,153.24,30.65,0,0,61.3,0,61.3,0,0,0,0,0,0,0,0,0,0
  7-9,134.06,86.75,0,202.41,0,0,0,231.33,0,0,0,0,0,191.9,0,0,0,0,0,0,0,0,0,0,0,2231.78,102.52,0,0,977.88,0,5.26,31.54,0,0,0,0,0,0,0,0,0
 10-12,0,72.38,0,135.32,0,25.18,0,204.55,0,0,0,0,0,135.32,0,0,0,0,0,0,0,0,0,0,0,2240.64,66.09,0,0,918.92,0,6.29,22.03,12.59,135.32,0,9.44,9.44,0,0,0,0
 14-21,0,2,0,31,254,65,0,87,0,0,0,26,9,4,1,3,12,0,0,1,0,117,0,0,110,1381,31,12,22,33,0,35,1,199,19,0,203,426,0,10,0,0
 24-34,0,0,0,4.93,85.37,58.28,0,394.83,0,2.46,0.82,36.94,0,0,4.1,5.75,4.1,4.1,5.75,4.93,0,283.2,1.64,0.82,132.98,2353.39,19.7,22.98,27.09,0.82,0,92.76,0,1.64,4.93,1.64,20.52,557.36,0,43.51,0,13.13
 36-46,0,0,0,1.61,41.89,29.81,0,890.26,0,0.81,0.81,38.67,0.81,0,2.42,8.06,0.81,4.83,0.81,3.22,0,227.2,2.42,4.03,87.82,1591.2,8.86,14.5,13.7,0,0,30.62,0,1.61,4.83,0,0,374.64,0,28.2,0.81,8.06
 48-58,0,0,0,0,46.48,25.82,0,1033.42,0,1.72,4.02,51.64,0.57,0,5.74,9.18,2.3,4.59,1.72,1.72,0,274.28,0.57,13.77,53.36,834.31,3.44,6.89,10.9,0,0,16.07,0,0,0.57,1.15,0,131.4,0,17.79,0,5.16
 60-70,0,0,0,0,62.82,2.94,0,703.75,0.98,0.98,1.96,65.76,5.89,0,0,8.83,0.98,0.98,3.93,0.98,0.98,188.45,0,19.63,31.41,404.39,4.91,2.94,5.89,0,0.98,16.69,0,0,0.98,0,0,22.58,0,17.67,0.98,1.96
 72-82,0,0,0,0,50.06,4.91,0,280.76,0,0.98,1.96,67.73,1.96,0,4.91,12.76,3.93,5.89,1.96,2.94,0,196.33,0.98,16.69,48.1,328.86,0,6.87,6.87,0,0,5.89,0,0,0,0,0,7.85,1.96,23.56,0,0.98
 84-94,0,0,0,0,61.6,23.36,3.19,235.77,0,1.06,0,33.99,12.74,0,2.12,21.24,4.25,4.25,4.25,4.25,0,152.93,0,23.36,41.42,260.2,5.31,6.37,8.5,0,1.06,9.56,0,0,1.06,0,0,7.43,5.31,23.36,0,0
 96-106,0,0,1.09,0,43.71,20.76,1.09,173.76,1.09,2.19,2.19,51.36,12.02,0,6.56,27.32,2.19,6.56,2.19,2.19,0,108.19,2.19,5.46,26.23,221.85,3.28,5.46,14.21,0,0,12.02,0,0,3.28,0,0,5.46,3.28,28.41,1.09,0
108-118,0,0,0,0,32.17,22.21,2.3,158.55,0.77,0.77,0,47.49,10.72,0,0,22.21,2.3,2.3,0,2.3,0.77,64.34,0,6.89,27.57,268.09,1.53,6.89,7.66,0,0,6.89,0,0,3.06,0,0,2.3,2.3,19.92,0,0
120,0,0,0,0,21.56,41.16,0,158.74,0,0,1.96,43.12,1.96,0,0,21.56,3.92,0,0,3.92,0,62.71,0,1.96,17.64,199.9,5.88,0,0,0,0,7.84,0,0,1.96,0,0,3.92,0,25.48,0,1.96
