stage,blastomeres,eye,glial,immune,lateral.line,mesenchyme,neural,otic,pgc,spinal.cord,vasculature
  3-4,26.36,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,2.63,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,3.15,0,0
 24-34,0,0,0,0,0,0,0.82,0,0,0.82,0
 36-46,0,0.81,0,0,1.61,0,5.64,0,0,0,0
 48-58,0,0.57,0.57,0,0.57,0,0,0,0,0,0
 60-70,0,0.98,0,0,1.96,0,0.98,0,0,0,0
 72-82,0,0.98,0,0,9.82,0.98,1.96,0.98,0,0,0
 84-94,0,0,0,1.06,2.12,0,0,0,0,0,1.06
 96-106,0,0,0,0,7.65,0,0,0,0,0,0
108-118,0,0,0,0,5.36,0,0,0,0,0,0
120,0,0,0,0,9.8,0,0,0,0,0,0
