stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,1,0,1,2,1,0,0,0,0,0
 24-34,0,0,0,2.46,0.82,4.1,0,0,1.64,0,0,0,0.82,0,0,0,0.82,7.39,0.82,0,2.46,4.93,0,0,0.82,0,0,0,0.82,0,1.64,0,0,0.82,0,0
 36-46,0,0,0,0,0,2.42,0,0,0.81,0,0,0,0,0,0,0.81,0,20.95,0,1.61,4.03,11.28,0,0,0,0,3.22,0.81,0,0,4.03,0,0,0.81,0,0
 48-58,0,0,0,0,0,5.74,0,0,2.87,1.15,0,0.57,0.57,0,0.57,0,0,22.95,0,0,7.46,10.9,0,0,0,0,1.72,0,0,0,1.15,0,0,0.57,0,0
 60-70,0,0,0,0,0,9.82,0,0,5.89,0.98,0,0,0,0,0.98,0,0,54.97,0,0,4.91,15.7,0,0.98,0,0,1.96,0,0,0,1.96,0.98,0.98,0,0,0
 72-82,0,0,0,0.98,0,6.87,0,0,15.71,0.98,0,0.98,0,0,0.98,0,0.98,112.89,0,4.91,13.74,17.67,0,0,0,0.98,0.98,0,0,0,0.98,0,0.98,0.98,0.98,0
 84-94,0,0,0,1.06,0,10.62,0,1.06,13.81,1.06,0,0,0,0,5.31,0,2.12,73.28,1.06,0,6.37,5.31,1.06,0,0,0,4.25,0,0,0,0,0,0,1.06,0,0
 96-106,0,1.09,0,1.09,1.09,8.74,1.09,0,9.84,4.37,1.09,0,0,0,8.74,0,0,86.33,0,3.28,5.46,10.93,1.09,1.09,0,0,4.37,0,0,0,0,0,3.28,2.19,1.09,0
108-118,0,0,0,0,0.77,4.6,0,1.53,11.49,0.77,0,0,2.3,0.77,6.13,0,1.53,88.09,0,3.83,4.6,16.85,0,0,0,0,2.3,0,0.77,0,0,0,1.53,1.53,1.53,1.53
120,0,0,0,1.96,0,5.88,1.96,1.96,1.96,1.96,0,0,0,0,3.92,0,0,50.95,0,3.92,3.92,9.8,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0
