stage,axial,blastomeres,erythrocytes,eye,fin.epithelia,glial,mesenchyme,neural,notochord,paraxial.mesoderm,periderm,pronephros,vasculature
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,12.26,0,0,0,0,0,6.13,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,10.51,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.15,3.15,0,3.15,0
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,0
 24-34,0,0,0.82,0,0,0.82,0,0.82,0,0,0,0,0
 36-46,0,0,0,0,0,0,0.81,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0.57,0,0,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,0,0,0,1.09,0,0
108-118,0,0,0,0,0,0,0,0,0,0,0,0,0.77
