stage,blastomeres,epidermis,eye,fin.epithelia,glial,immune,liver,mesenchyme,muscle,neural,paraxial.mesoderm,pericytes,periderm,somites,spinal.cord
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,5.26,0,0,0,0,0,0,10.51,2.63,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,22.03,0,0,0,0,0
 14-21,0,2,0,0,1,0,1,0,0,11,0,0,1,0,1
 24-34,0,0,0,0,0,0,0,0.82,0,10.67,0,0,0.82,0.82,2.46
 36-46,0,0,0,0,0.81,0,0,0.81,0,8.86,0,0,0,0,1.61
 48-58,0,0,1.15,0,0.57,0,0,1.15,0.57,4.02,0,0.57,0,0,0.57
 60-70,0,0,1.96,0,0.98,0,0,0,0,2.94,0,0,0,0,0.98
 72-82,0,0,0.98,0,0,0,0,0.98,0,1.96,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,2.12,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,1.09,0,0,0,0,1.09,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0.77,0,1.53,0,0,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,1.96,0,0
