stage,axial,blastomeres,endoderm,epidermis,eye,fast_muscle,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,3.15,0,0,0,0,0,0,0,0,15.73,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,1,5,0,0,0,0,0,0,1,2,13,0,0,0,0,4,2,0,0,0,0
 24-34,0,0,0,0,4.1,0,0,0,0,0,0,2.46,0,13.95,0,0.82,0,0,0.82,4.93,0,0,0,0.82
 36-46,0,0,0,0,2.42,0,0.81,0,0,0,0.81,0,0.81,4.83,0,0,0,0.81,0,0.81,0,0,0,0
 48-58,0,0,0,0,3.44,0.57,0,0,0,0,0,0.57,0.57,4.02,0.57,0.57,0,0,0,0.57,0,0.57,0,0
 60-70,0,0,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,1.96,0,0.98,0,0,0.98,0,0.98,0,2.94,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,2.12,0,1.06,1.06,1.06,0,0,1.06,0,3.19,0,0,0,0,0,0,0,0,1.06,1.06
 96-106,0,0,0,0,0,0,1.09,0,0,0,0,1.09,0,1.09,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,0,0,0.77,0.77,1.53,0,0,0,0,0,0,0.77,0,0,0
120,0,0,0,1.96,0,0,0,0,0,0,0,0,0,9.8,0,0,0,0,0,0,0,0,0,0
