stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,37.76,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,5,0,0,10,5,2,0,0,0,0,1,24,0,201,436,10,0,0,0,0
 24-34,0,2.46,0,4.93,116.56,0,0,2.46,0,0,4.93,0,0,0,0,0,0,6.57,0,0,26.27,64.03,0,1.64,2.46,0,5.75,0,0,0,156.78,185.51,9.03,0,1.64,0,0
 36-46,0,0,0,8.06,212.7,0.81,0,3.22,0,0,2.42,0,0,0,0.81,0,0,7.25,0,0,19.34,33.03,0.81,0.81,0,0.81,0.81,0,0,1.61,130.52,10.47,5.64,0.81,1.61,0,0.81
 48-58,0,1.72,0,18.94,145.17,0.57,0,3.44,0,0,2.3,0,0,0,0,0,0.57,9.75,0,0.57,17.21,39.59,0,1.15,0.57,0,1.72,0,0,0,107.3,0.57,12.62,0,1.72,0,0.57
 60-70,0,1.96,0,12.76,139.38,0,0,0.98,0,0,1.96,0,0,0,0,0,0,13.74,0,0,22.58,39.26,0,0.98,0,0.98,2.94,0,0,0.98,70.67,0,3.93,0.98,0.98,0,0
 72-82,0,0,0,9.82,76.57,0,0.98,4.91,0.98,0,0.98,0,0,0,0,0,0,10.8,0,0,14.72,28.47,0,0.98,0,0,0,0,0,1.96,32.39,0,5.89,0,0,0.98,0
 84-94,0,2.12,2.12,10.62,115.76,0,1.06,2.12,0,0,2.12,0,0,1.06,1.06,0,0,10.62,0,0,19.12,18.05,0,0,1.06,0,4.25,0,0,2.12,54.16,0,0,0,1.06,0,1.06
 96-106,0,3.28,1.09,14.21,127.86,0,0,3.28,1.09,0,1.09,2.19,0,0,0,2.19,0,8.74,1.09,0,18.58,12.02,0,1.09,2.19,1.09,2.19,0,0,1.09,49.18,0,0,1.09,1.09,1.09,0
108-118,0,2.3,1.53,12.26,87.32,0.77,0,3.83,0.77,0,2.3,0.77,0.77,0,0.77,3.06,0,5.36,0,0.77,19.92,15.32,1.53,0,0,0,1.53,0,0,1.53,29.87,0,0,0,0,0,0.77
120,0,0,1.96,3.92,74.47,0,0,1.96,0,0,1.96,0,1.96,0,1.96,0,0,5.88,0,0,15.68,19.6,0,0,0,0,0,0,1.96,0,15.68,0,0,0,0,0,0
