stage,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,presomitic.mesoderm,spinal.cord,vasculature,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,0,0
 24-34,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,2.3,0,0,0.57,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0,0,0,0.98,0,0,0.98,0,0,0,7.85,0,0,0.98,0.98,0,0,0,0.98,0,0.98,0,0
 72-82,0,0.98,2.94,0.98,0,0,0,0,0.98,0,0.98,0,9.82,0.98,0.98,0,1.96,0,0,0,1.96,0,1.96,0.98,0.98
 84-94,0,0,1.06,2.12,1.06,0,0,0,0,0,0,0,4.25,0,0,0,3.19,0,0,0,1.06,0,0,0,1.06
 96-106,0,1.09,6.56,1.09,2.19,0,0,0,0,0,1.09,0,12.02,0,0,0,1.09,0,1.09,1.09,2.19,0,0,1.09,1.09
108-118,0,4.6,3.83,0.77,3.83,0,1.53,0.77,0,0,0.77,0.77,10.72,0.77,0,0,3.83,0.77,0.77,0,1.53,0,0,0.77,0
120,0,1.96,3.92,0,1.96,1.96,1.96,0,0,0,0,0,5.88,0,1.96,0,3.92,0,1.96,0,3.92,0,0,0,1.96
