stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,204,0,0,2,0,0,0,1,0,0,0,2,1,0,0,4,0,0,0,0,0,2,1,0,9,0,0,0,0,0
 24-34,0,0,271.7,0,52.53,32.01,0.82,0,0,0.82,0,0,0,0.82,7.39,0,0,32.01,6.57,0.82,0.82,0,0,0.82,0,3.28,13.95,0,0,0,0,0.82
 36-46,0,0,48.34,0,103.93,48.34,0.81,0,0,0,0,0,0,3.22,0,0,0,16.11,4.03,0,0,0,0,0,0,0,16.92,0,0,0,0,0.81
 48-58,0,0,10.33,0,113.04,40.74,0.57,1.15,0,0,0,0,0,4.02,0,0.57,0,9.18,0,0,0.57,0,0.57,0,0,0,16.64,0,0,0,0,0
 60-70,0,0,8.83,0,112.88,30.43,0,0.98,2.94,0,0,0,0,6.87,0,0,0,7.85,0,0,0,0,0,0,0,0,3.93,0,0,0.98,0.98,0.98
 72-82,0,0,14.72,0.98,93.26,44.17,1.96,0,0.98,0,0.98,0.98,0.98,17.67,0,1.96,0,11.78,0,0,0.98,0,0,1.96,0,0,7.85,0,0,0,0,0
 84-94,0,0,23.36,1.06,127.44,63.72,0,1.06,4.25,0,0,0,0,14.87,0,4.25,0,8.5,1.06,0,0,0,0,0,0,0,1.06,0,0,1.06,1.06,0
 96-106,0,0,50.27,0,154.09,49.18,0,2.19,3.28,0,4.37,0,1.09,24.04,0,5.46,0,10.93,0,0,0,0,1.09,0,0,0,6.56,0,1.09,0,0,0
108-118,0,0.77,48.26,0,112.6,71.23,1.53,0.77,4.6,0,20.68,0,0,25.28,0,3.06,0.77,8.43,0,0,0.77,0,0,0,0,0,5.36,0,0,0,0,0
120,0,0,25.48,0,92.11,27.44,0,0,7.84,0,0,0,0,23.52,0,0,0,3.92,0,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0
