stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,9,2,0,2,0,0,0,1,1,0,0,2,0,0,3,0,0,4,58,0,1,0,0,0,2,9,1,0,2,26,0,0,0,0
 24-34,0,0,0,2.46,0,0,4.93,0,0,0,0,0,0,0,0.82,0,0,5.75,0,0,2.46,46.79,0.82,2.46,0,0,0,1.64,0,1.64,0,0,16.42,0,0,0,0
 36-46,0,0,0,0.81,0,0,8.06,0,0,0,2.42,0,0,0,0,0,0,4.03,0,0,2.42,27.39,0,1.61,1.61,0,0,1.61,0,0,0,0,4.03,0,0,1.61,0
 48-58,0,0,0,1.15,0,0,9.75,0,0.57,0.57,2.87,0,0,0,0,0.57,0,4.02,0,1.15,1.72,21.23,0,0,0,0,0,0.57,0,0,0,0,4.59,0,0,0.57,0
 60-70,0,0,0,1.96,0,0,12.76,0,0,0,4.91,0,0.98,0,0,0,0,5.89,0.98,0,0,26.5,0,1.96,1.96,0,0.98,0.98,0,0,0.98,0,1.96,0,0,0,0
 72-82,0,0,0,0.98,0.98,0,11.78,0.98,0,1.96,2.94,0,0,0,0,0.98,1.96,9.82,0,0,0,17.67,0,0.98,0,0,0,2.94,0,0,0,0,0.98,0,0,1.96,0
 84-94,0,0,1.06,0,0,0,12.74,0,0,1.06,4.25,0,0,0,0,0,2.12,7.43,0,1.06,2.12,11.68,0,1.06,0,0,0,7.43,0,0,0,0,1.06,0,0,1.06,0
 96-106,0,0,0,2.19,0,0,6.56,0,0,0,4.37,1.09,0,0,1.09,2.19,1.09,8.74,0,2.19,1.09,12.02,1.09,1.09,0,0,0,4.37,0,0,0,0,0,0,0,0,2.19
108-118,0,0,0,0.77,1.53,0.77,2.3,0,0,0.77,3.83,0,0,0.77,0.77,0,0.77,6.89,0,1.53,3.06,14.55,0,2.3,0.77,0,0,3.06,0,0,0,0,1.53,0.77,0.77,1.53,0
120,0,0,0,1.96,0,0,1.96,0,0,0,9.8,1.96,0,1.96,0,0,0,3.92,0,0,3.92,15.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
