stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,15.77,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,13,0,1,0,0,0,1,0,1,2,4,0,0,0
 24-34,0,0,0,0,0.82,0,0.82,0,0,0,0.82,0,0,0,0,0,0,0,0.82,0,15.6,0,0,0,0,0,0,0,0,0,0.82,0,1.64,0
 36-46,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,4.83,0,0,0,0,0.81,0,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,1.15,0,0,0,0,0,0,0,0,0.57,0.57,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0,0.98,0,0,2.94,0,0,1.96,0,0,0.98,0,0,0,0,5.89,0,0,0,0,0,0,0,0,0,1.96,0,0,0
 72-82,0,0,0,0,0,0,1.96,0,0,12.76,0,0.98,0.98,0,0,0,0,0,2.94,0,1.96,0,0,0,0,0,0,0,0,0,0.98,0,0,0
 84-94,0,0,0,1.06,0,0,1.06,0,1.06,6.37,0,0,1.06,0,0,0,0,0,2.12,0,2.12,0,1.06,0,1.06,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,0,0,0,0,0,1.09,1.09,0,9.84,20.76,0,0,0,1.09,0,0,0,2.19,0,4.37,1.09,2.19,0,0,0,0,0,0,0,2.19,0,0,0
108-118,0,0,0,0.77,0,0.77,2.3,0,0,2.3,36,0,0,0.77,0,0,0,0,0.77,0,9.96,0,0.77,0,0,0,0,0.77,0,0,3.83,0,1.53,0
120,0,0,0,3.92,0,0,0,0,0,17.64,68.59,0,0,3.92,0,0,3.92,1.96,3.92,0,11.76,0,3.92,0,0,0,0,0,0,0,1.96,1.96,1.96,0
