stage,blastomeres,endoderm,epidermis,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,xanthophores
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,2.63,0,0,0,0,0,0,0,0,0,13.14,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,0,0,1,2,1,1,0,3,0,0,0
 24-34,0,0,0.82,0.82,0,1.64,0,0,0,0,0.82,1.64,0,4.93,0,0,0,1.64,0,0.82,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0.57,0,0.57,0,0,0,0.57,0,0,0,0.57,0,1.15,0,0,0.57
 60-70,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0,2.94,0,0.98,0.98,1.96,0,0,0
 72-82,0,0,0.98,6.87,0,0,0,0,2.94,0.98,0,1.96,0,4.91,0,0,0.98,0.98,0,0,0
 84-94,0,0,0,1.06,1.06,0,0,0,7.43,0,0,0,0,0,1.06,0,2.12,0,0,1.06,0
 96-106,0,0,2.19,1.09,0,0,0,0,2.19,0,1.09,2.19,0,2.19,0,0,6.56,3.28,0,1.09,0
108-118,0,0,0,3.06,0,0,0.77,0,6.89,0,0,1.53,0,4.6,0.77,0.77,5.36,0.77,0.77,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,0,0,0,0
