stage,blastomeres,epidermis,eye,fin_epithelia,immune,ionocyte,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,spinal_cord,vasculature,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,6.29,0,0,0,0,0
 14-21,0,1,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0,0,0
 36-46,0,0,0.81,0,0,0,0,0.81,0.81,0,0.81,2.42,0,0,0,0.81,0,0
 48-58,0,0,0.57,0,0,0.57,0,0,0,0,0,1.72,0,0,0.57,0,0,0
 60-70,0,0,0.98,0,0,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,1.06,0,1.06,0,0,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09,1.09
108-118,0,2.3,0,0,0.77,0,0,0,0,0,0,2.3,0,0,0,0,0.77,0.77
120,0,9.8,0,0,0,1.96,1.96,0,0,0,0,5.88,0,0,0,0,0,0
