stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0
  5-6,6.13,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,5.26,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.46,2.63,0,0,31.54,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,3.15,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176.23,3.15,0,0,47.2,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,10,1,0,10,0,0,0,2,0,0,0,1,0,1,0,0,3,0,0,6,67,0,0,1,0,0,0,12,0,1,14,28,0,2,0,0
 24-34,0,0,0,0.82,3.28,3.28,0,30.37,0,0.82,0,1.64,0,1.64,0,3.28,0,0,0.82,0.82,16.42,0,0,4.1,178.13,0,1.64,3.28,0,0,0,0,0,2.46,9.85,32.01,0,4.1,0,1.64
 36-46,0,0,0,0,3.22,0,0,59.62,2.42,0,0.81,5.64,0,0,0,0,0.81,0.81,0,3.22,16.11,0,0,6.45,199,0,0,1.61,0,0,1.61,0,1.61,0.81,0,31.42,0,0.81,0,0
 48-58,0,0,0,0,0,0.57,0,137.14,1.15,0.57,1.72,19.51,0,0,1.72,1.15,0.57,0.57,0,0,18.94,0,1.15,4.02,256.49,0,0,1.72,0,0.57,0.57,0,1.15,0.57,0,32.13,0,2.3,0,1.72
 60-70,0,0,0,0,2.94,1.96,0,162.93,1.96,0,0,23.56,1.96,0.98,0,0,0.98,0.98,0.98,0.98,21.59,0,0,1.96,191.4,0,0.98,0,0,0,1.96,0,0,0.98,0,15.7,0.98,0,0,0.98
 72-82,0,0,0.98,0,4.91,1.96,0,156.08,0,0.98,1.96,23.56,1.96,0.98,0,0.98,2.94,0.98,1.96,0,24.54,0,3.93,4.91,222.84,0,0,1.96,0,0.98,0.98,0,0.98,0,0,13.74,0.98,5.89,1.96,0.98
 84-94,0,0,2.12,0,5.31,0,0,91.34,0,0,0,18.05,3.19,0,5.31,1.06,3.19,1.06,1.06,0,19.12,0,2.12,1.06,94.52,0,0,2.12,0,0,3.19,0,1.06,0,0,7.43,0,0,2.12,1.06
 96-106,0,0,0,0,8.74,1.09,0,44.81,1.09,1.09,1.09,18.58,0,0,2.19,1.09,0,2.19,2.19,0,21.86,0,2.19,6.56,69.94,0,2.19,2.19,0,0,4.37,0,1.09,0,0,4.37,0,2.19,1.09,2.19
108-118,0,0,0.77,0,4.6,0.77,1.53,33.7,0,0.77,0,10.72,0.77,0,1.53,0.77,0,0.77,0.77,0,9.96,0.77,0.77,4.6,51.32,0,0,0.77,0,0,1.53,0,0.77,0.77,0,0.77,0,1.53,1.53,0.77
120,0,0,0,0,9.8,1.96,0,23.52,0,0,0,9.8,0,0,0,0,0,0,0,0,17.64,0,0,9.8,60.75,1.96,0,0,0,0,7.84,0,0,1.96,0,1.96,0,0,0,0
