stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,10.51,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,18.88,0,0,0,0,0,0,0,0,0,0,0,0,0,53.5,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,2,1,1,0,4,0,0,3,0,0,0,0,0,0,1,0,0,1,133,0,4,0,0,1,1,0,87,0,0,0,0,0
 24-34,0,0.82,0.82,0,0,5.75,0.82,0,1.64,0,0.82,0,0,0,0,4.1,0,0,0.82,452.29,0,14.78,0.82,0,0.82,0,0,121.49,0,0,0.82,0,0
 36-46,0,0.81,3.22,0,0,47.53,0,0.81,12.89,0,0.81,0,0,0,0,3.22,0.81,0,1.61,1060.26,0,12.09,0,0,0.81,0,0,203.03,0,0,0,0,0
 48-58,0,0,5.16,0,0,173.86,0,0,32.13,0,0,0.57,0,0,0,4.59,0,0.57,1.72,969.16,0,5.74,0,0,1.15,0,0.57,161.81,0,0,0.57,0,1.15
 60-70,0,0,0.98,0,0,323.9,0,0,20.61,0,0,0,0,0,0,10.8,0.98,0,0,1042.38,0,6.87,0.98,0,0.98,0,0,157.04,0,0,0.98,0,0
 72-82,0,4.91,5.89,0.98,0,315.11,0,0,24.54,0.98,0,1.96,0.98,0,0,16.69,0,0,0.98,749.99,0,11.78,0.98,0,0.98,0,0.98,52.03,0,0.98,0,0.98,0.98
 84-94,0,7.43,5.31,0,1.06,182.67,1.06,1.06,18.05,6.37,0,2.12,1.06,1.06,0,11.68,0,0,0,362.15,0,4.25,1.06,0,2.12,0,0,32.92,4.25,0,2.12,2.12,1.06
 96-106,0,3.28,6.56,3.28,0,147.53,0,0,16.39,4.37,1.09,0,0,0,1.09,6.56,0,0,2.19,268.84,0,2.19,2.19,0,2.19,0,1.09,18.58,6.56,2.19,0,2.19,0
108-118,0,0.77,3.06,0,0,74.3,0,0.77,13.79,4.6,1.53,1.53,0.77,0.77,0,10.72,0.77,0.77,0,287.24,0,4.6,1.53,0,3.06,0,0,10.72,8.43,0,0.77,0.77,0
120,0,0,7.84,0,0,70.55,0,0,9.8,5.88,0,0,0,0,0,7.84,0,0,7.84,239.09,0,3.92,0,0,1.96,0,1.96,15.68,3.92,0,0,0,0
