stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,3.93,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0.98,0.98,0,2.94,0,0,0.98,0.98,0,0,0,0,95.22,0,2.94,0,0,12.76,0,0,0,0.98,0,0,0,0.98,0.98,0,1.96
 84-94,0,0,0,0,0,3.19,0,0,1.06,3.19,0,0,0,0,337.73,0,1.06,0,0,9.56,0,0,0,2.12,0,0,1.06,0,0,0,0
 96-106,0,0,2.19,2.19,1.09,6.56,0,1.09,0,4.37,1.09,0,0,0,518.01,0,8.74,1.09,0,54.64,0,0,1.09,4.37,2.19,1.09,0,0,1.09,0,0
108-118,0,0.77,4.6,0,0,12.26,0.77,0,2.3,1.53,0.77,0,1.53,0.77,1197.2,0.77,7.66,0,2.3,49.02,0.77,0,0,3.06,1.53,1.53,0,0,0,0,1.53
120,0,0,0,0,0,1.96,0,0,1.96,1.96,0,1.96,0,0,521.3,0,5.88,0,0,35.28,0,0,0,1.96,3.92,0,0,0,0,1.96,0
