stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,896.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,67.43,490.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,7.89,0,5.26,0,0,0,44.69,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,181.38,10.51,0,0,73.6,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,18.88,0,0,0,28.32,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,264.35,18.88,0,0,116.44,0,0,3.15,0,18.88,0,0,0,0,0,0,0
 14-21,0,0,0,3,12,8,0,8,0,0,0,3,0,1,2,0,0,0,0,0,1,10,0,0,10,85,1,0,2,2,0,3,0,17,1,3,41,33,0,1,0,0
 24-34,0,0,0.82,0,8.21,0.82,0,13.95,0,0,0.82,1.64,0,0,0,0,1.64,0,0,1.64,0,22.16,0,0.82,8.21,132.16,1.64,3.28,2.46,0,0,1.64,0,0,0.82,0.82,7.39,35.3,0,10.67,0,1.64
 36-46,0,0,0,0,3.22,0,0,31.42,0,0,0.81,9.67,0,0,1.61,0.81,0,0,0,0,0,24.17,0,0.81,8.86,155.49,0,3.22,0.81,0,0,3.22,0,0,0,0,0,39.48,0,3.22,0,0
 48-58,0,0,0,0,1.72,0.57,0,35,1.15,0,3.44,15.49,0,0,0.57,0.57,0.57,0.57,0.57,0,0.57,26.97,0,0.57,4.02,121.07,0.57,2.87,1.15,0,0,0.57,0,0,0,0,0,28.69,0,4.59,0,0
 60-70,0,0,0,0,6.87,0,0,74.6,0,0.98,0,17.67,0,0,0,0,0,0.98,0.98,0,0,21.59,0,2.94,5.89,139.38,0,3.93,0.98,0,0,1.96,0,0,0.98,0,0,23.56,0,5.89,0,0.98
 72-82,0,0,0,0,6.87,0.98,0,52.03,0,0,0.98,29.45,0.98,0,1.96,0.98,0.98,0,0,1.96,0,30.43,0,0,4.91,116.82,0,2.94,0.98,0,0,2.94,0,0,0,0,0,6.87,0,7.85,1.96,0.98
 84-94,0,0,1.06,0,7.43,0,1.06,38.23,0,4.25,0,12.74,2.12,0,0,3.19,0,0,2.12,0,0,18.05,0,0,6.37,60.54,1.06,3.19,4.25,0,0,3.19,0,0,0,0,0,5.31,2.12,10.62,0,0
 96-106,0,0,0,0,5.46,0,0,43.71,0,0,0,17.49,1.09,0,1.09,2.19,1.09,1.09,1.09,0,0,18.58,0,2.19,2.19,61.2,0,4.37,4.37,0,1.09,3.28,0,0,1.09,0,0,3.28,2.19,1.09,1.09,1.09
108-118,0,0,0,0,6.89,0,2.3,38.3,1.53,0,1.53,11.49,0,0,0,2.3,0.77,1.53,0,0.77,0.77,14.55,0,0.77,3.83,67.4,0,3.06,1.53,0,0,3.06,0,0,0.77,0,0,1.53,0.77,3.06,0.77,3.06
120,0,0,0,0,25.48,0,0,23.52,1.96,3.92,1.96,29.4,0,0,0,3.92,1.96,0,0,0,0,27.44,1.96,1.96,3.92,86.23,1.96,3.92,3.92,0,0,0,0,0,1.96,0,0,3.92,1.96,3.92,3.92,0
