stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,liver,mesenchyme,muscle,neural,notochord,otic,periderm,spinal.cord,vasculature,xanthophores
 14-21,0,4,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,3,0
 24-34,0,0.82,0,0,0.82,0,0,0,4.93,0,0,0,4.1,0,0.82,0,2.46,16.42,0
 36-46,0.81,0,0,0,0,0,0,1.61,10.47,0,0.81,0,3.22,0,0,0.81,0,4.03,0
 48-58,0,1.15,0.57,0,0,1.15,0,0,13.2,0,0,0,1.72,0,0,1.72,0,6.89,0
 60-70,0.98,0,0,0,0,0,0.98,1.96,19.63,0,2.94,0.98,0,0,0,0,0,3.93,0
 72-82,0,3.93,1.96,0,0,0.98,0.98,1.96,37.3,0,3.93,0,0.98,0,0,0,0,7.85,0
 84-94,0,4.25,1.06,0,1.06,0,0,2.12,50.98,0,2.12,0,3.19,0,0,0,0,8.5,0
 96-106,1.09,4.37,6.56,0,0,0,0,1.09,64.48,1.09,5.46,0,4.37,0,2.19,0,0,9.84,0
108-118,0,3.83,0.77,0,0,0,0,0.77,45.96,0,2.3,0,1.53,0,0.77,1.53,0,7.66,0.77
120,1.96,9.8,0,1.96,0,0,0,0,60.75,0,0,0,3.92,1.96,0,0,0,7.84,0
