stage,blastomeres,epidermis,eye,glial,hatching.gland,lateral.line,mesenchyme,neural,notochord,olfactory,otic,pgc,pronephros,spinal.cord,visceral.smooth.muscle
  7-9,2.63,0,2.63,0,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,1,1,0,1,0,4,0,0
 24-34,0,0,0,0,0,0,0,2.46,0,0.82,0.82,0,0.82,0.82,0
 36-46,0,0,0,0,0,0,0.81,1.61,0,0.81,0,0,0.81,0.81,0
 48-58,0,0,0.57,0.57,0,0.57,0.57,2.87,0,3.44,1.15,0,0.57,0,0
 60-70,0,0,1.96,0.98,0,0.98,0,0.98,0,5.89,1.96,0,0,0,0
 72-82,0,0.98,2.94,0,0,1.96,1.96,2.94,0,3.93,6.87,0,0.98,0,0
 84-94,0,0,1.06,0,0,3.19,1.06,4.25,0,4.25,6.37,0,3.19,3.19,0
 96-106,0,0,2.19,1.09,0,7.65,0,3.28,0,8.74,18.58,0,1.09,0,1.09
108-118,0,0,0,0,0,3.83,0.77,0.77,0,3.06,7.66,0,1.53,0.77,0
120,0,0,0,0,0,5.88,0,1.96,0,5.88,7.84,0,1.96,0,0
