stage,blastomeres,endoderm,epidermis,eye,glial,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,105.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,55.17,0,0,0,0,0,0,0,6.13,6.13,0,0,0,0,0
  7-9,0,5.26,0,5.26,0,0,0,34.17,5.26,18.4,0,0,0,0,0
 10-12,6.29,3.15,0,3.15,0,0,0,47.2,0,12.59,0,3.15,0,0,0
 14-21,0,0,0,0,0,0,0,9,0,0,0,0,1,0,0
 24-34,0,0,0.82,0,0,0,0,9.03,0,0,0.82,0,3.28,0,0
 36-46,0,0,0,0.81,0,0.81,0,5.64,0,0,0,0,2.42,0,0
 48-58,0,0,0,1.15,0.57,0.57,0,0.57,0,0,0,0,0.57,0.57,0
 60-70,0,0,0,0,0,0,0.98,1.96,0,0,0,0,0,0,0
 72-82,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,0,1.06,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,2.3,0,0,0,0,0,0,0
