stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,171.31,3439.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65.89,0,0,0,0,0,0,0,0,0,0,0
  5-6,239.06,3469.37,6.13,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,0,0,0,0,0,0,134.85,12.26,0,0,36.78,0,79.69,0,0,0,0,0,0,0,0,0,0,0
  7-9,36.8,52.57,49.95,0,0,120.92,0,0,0,0,0,34.17,0,0,0,0,0,0,0,0,0,0,0,1083.03,31.54,0,0,381.16,0,5.26,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,34.62,0,6.29,78.67,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,708.07,25.18,0,0,267.49,0,0,0,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,10,94,27,82,0,0,0,13,9,2,1,0,2,0,0,0,0,59,0,0,42,1184,19,6,19,34,0,3,0,128,4,2,93,320,0,0,5,0,0
 24-34,0,0,0,22.16,3.28,143.65,0,0,0.82,15.6,0.82,0,2.46,0.82,0.82,0.82,3.28,4.93,0,89.47,0,0.82,23.8,1086.81,3.28,5.75,14.78,0.82,0,9.85,0,1.64,1.64,0,8.21,188.8,0,0,8.21,0,0.82
 36-46,0,0,0,6.45,0,182.89,0,0,0,19.34,0.81,0,0.81,0,0.81,2.42,0.81,0.81,0,61.23,0,3.22,12.89,563.97,0.81,3.22,1.61,0,0,2.42,0,0,0,0,0,137.77,0,0,3.22,0,0.81
 48-58,0,0,0,5.16,0,218.05,0,0.57,1.15,34.43,1.15,0,1.15,0.57,1.72,1.72,1.15,0.57,1.72,65.41,0,4.59,9.75,241.57,1.15,0.57,1.72,0,0,4.59,0,0,0,0.57,0,50.49,0,0,3.44,0,0.57
 60-70,0.98,0,0,5.89,0,178.64,2.94,1.96,1.96,33.37,0,0,1.96,1.96,0.98,0,0.98,0.98,0,63.8,0.98,1.96,12.76,160.97,0,1.96,0,0,0,1.96,0,0,0,0,0,18.65,0,0,0.98,0,0
 72-82,0,0,0,9.82,0,89.33,0.98,0,0,47.12,2.94,0,0.98,0.98,0.98,0,2.94,0.98,0,77.55,0,2.94,5.89,114.85,0,0.98,1.96,0,0.98,0.98,0,0,0.98,0.98,0,5.89,0.98,0.98,6.87,0.98,0
 84-94,0,0,0,12.74,0,62.66,0,0,2.12,25.49,2.12,0,0,1.06,1.06,2.12,1.06,3.19,0,60.54,0,1.06,10.62,75.4,0,0,1.06,0,1.06,7.43,0,0,1.06,0,0,6.37,1.06,1.06,5.31,5.31,3.19
 96-106,0,0,0,4.37,2.19,48.09,0,0,1.09,16.39,3.28,0,2.19,3.28,0,0,4.37,0,1.09,39.34,0,1.09,2.19,64.48,0,6.56,3.28,0,0,1.09,0,0,1.09,0,0,0,1.09,0,6.56,0,1.09
108-118,0,0,0,7.66,0.77,39.83,0.77,0,1.53,19.92,3.83,0,0,0,0.77,0.77,1.53,0.77,0,22.21,0,0.77,13.02,78.89,1.53,2.3,2.3,0,0,6.89,0,0,0,0,0,2.3,0.77,0.77,2.3,0.77,0
120,0,0,0,7.84,0,15.68,0,0,1.96,15.68,0,0,0,0,1.96,0,0,0,0,21.56,1.96,0,7.84,52.91,0,1.96,7.84,0,0,0,0,0,1.96,0,0,1.96,0,0,1.96,0,0
