stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,79.07,1304.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,85.81,888.8,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,15.77,5.26,0,13.14,0,0,44.69,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,249.73,10.51,0,0,113.03,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,25.18,0,0,22.03,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,210.85,3.15,0,0,66.09,0,0,12.59,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,3,6,3,0,0,1,1,0,0,0,0,0,0,0,4,0,0,2,53,1,0,0,1,3,6,0,0,7,18,0,0,0,0,0
 24-34,0,0,0,0.82,7.39,0.82,12.31,0,0.82,2.46,0,0,0,0.82,0.82,0,0.82,0,12.31,0,0,5.75,114.1,0.82,0,0.82,0,2.46,0,0,0,0.82,24.63,0,0,0.82,0,0
 36-46,0,0,0,0,0.81,0.81,26.59,0,0,6.45,0,0,0,0,0,0,0,0.81,10.47,0,0,2.42,90.23,0,0,0.81,0,7.25,0,0,0.81,0,20.14,0,0,2.42,0,0.81
 48-58,0,0,0,0,1.15,0,42.46,0,0.57,6.89,0,0,1.72,0,0.57,0.57,0,0,12.62,0,1.15,5.16,79.76,0,0.57,0,0,3.44,0,0,0,0,12.62,0,0,0.57,0,0
 60-70,0,0,0.98,0,0.98,0.98,27.48,0,0.98,6.87,0.98,0,0,0.98,0,0,0,1.96,11.78,0,0,1.96,57.91,0,0.98,0.98,0,0,0,0,0,0,6.87,0,0,0.98,0,0
 72-82,0,0,0,0,0.98,0,31.41,0,0.98,7.85,0,0,0,0,0.98,0,0,0,26.5,0,0.98,3.93,54.97,0,0,0.98,0,0.98,0,0,0,0,4.91,0,0.98,4.91,0,0
 84-94,0,0,0,0,3.19,0,14.87,0,0,5.31,2.12,0,0,1.06,0,0,2.12,1.06,13.81,0,0,2.12,24.43,0,0,1.06,0,1.06,0,0,0,0,1.06,0,0,0,1.06,0
 96-106,0,0,0,0,5.46,0,12.02,0,2.19,5.46,2.19,0,0,3.28,0,0,0,1.09,10.93,0,1.09,3.28,18.58,0,2.19,0,0,3.28,0,0,0,0,0,1.09,0,1.09,0,0
108-118,0,0,0,0.77,3.06,0.77,7.66,0.77,0,3.83,0.77,0,0,1.53,0.77,0.77,0,0,2.3,0,0,4.6,20.68,0,0.77,1.53,0,3.83,0,0,0,0,0,0,0,1.53,0,0
120,0,0,0,0,3.92,1.96,1.96,0,0,5.88,0,0,0,0,0,1.96,0,0,3.92,1.96,0,0,37.24,0,0,1.96,0,1.96,0,0,0,0,0,0,0,1.96,0,0
