stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,18.88,0,40.91,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,302.11,3.15,0,0,1173.82,0,0,3.15,91.26,0,6.29,6.29,0,0,0,0,0
 14-21,1,4,0,2,571,63,0,1,0,5,0,93,47,0,0,1,0,0,0,1,80,1,0,65,169,67,1,2,395,0,10,1100,2,16,399,1496,0,0,6,0,1
 24-34,0,0,0,0,64.85,5.75,0,10.67,2.46,25.45,6.57,112.46,18.06,0,0,1.64,0,0,0.82,9.03,90.29,0.82,0,141.19,105.89,13.95,0.82,1.64,0,0,102.61,0.82,0.82,10.67,133.8,902.12,0,0,32.01,0,1.64
 36-46,0,0,0,0,14.5,0,0,3.22,4.03,18.53,26.59,49.95,7.25,0,0,0,0,0.81,0,4.83,154.69,0.81,4.03,126.49,104.74,7.25,1.61,0,0,0,78.15,0,0,8.06,3.22,979.69,0,0,12.09,0,1.61
 48-58,0,0,0,0,13.77,0,0,25.82,7.46,25.25,26.97,55.66,2.87,0,0,0,0,0,1.72,5.16,190.5,0.57,4.59,96.97,106.73,8.61,0.57,0,0,0,45.33,0,0,10.9,0,906.04,0,0,7.46,1.15,3.44
 60-70,0,0,0,0,10.8,0.98,0,14.72,4.91,13.74,31.41,51.04,5.89,0,0,0,0,0,0,0.98,149.19,0,9.82,55.95,54.97,0,0,0,0,0.98,36.32,0,0,3.93,0,568.3,0,0.98,6.87,0.98,0
 72-82,0,0,3.93,0,15.71,1.96,0,39.27,0.98,20.61,62.83,109.95,15.71,0,0,0,0.98,0,0.98,1.96,310.21,0.98,23.56,90.31,86.39,7.85,0,0,0,1.96,53.99,0,0.98,0.98,0,384.81,0,6.87,6.87,16.69,4.91
 84-94,0,0,4.25,0,18.05,1.06,0,59.47,1.06,40.36,55.23,86.03,21.24,0,0,1.06,1.06,1.06,1.06,1.06,216.66,2.12,26.55,77.53,70.09,4.25,0,0,0,0,149.75,0,2.12,7.43,0,285.69,0,3.19,12.74,15.93,1.06
 96-106,0,0,1.09,0,27.32,0,1.09,39.34,6.56,33.88,36.06,72.13,19.67,0,2.19,0,0,0,0,6.56,189.06,4.37,19.67,81.96,61.2,6.56,0,0,0,2.19,91.8,0,0,2.19,0,131.14,0,3.28,19.67,34.97,4.37
108-118,0,0,2.3,0.77,24.51,0.77,0,9.19,5.36,41.36,37.53,72.77,16.85,0,0.77,4.6,3.06,0,0,3.06,152.43,1.53,19.15,88.09,65.11,10.72,0,0,0,3.06,89.62,0,0,1.53,0,98.81,0.77,2.3,9.96,13.79,4.6
120,1.96,0,0,0,33.32,0,0,5.88,3.92,35.28,19.6,29.4,23.52,0,0,0,0,0,0,1.96,117.59,0,15.68,78.39,41.16,11.76,0,0,0,0,96.03,0,0,1.96,0,35.28,0,0,0,11.76,0
