stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,39.53,408.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,631.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.39,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,13.14,0,21.03,0,0,55.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333.85,7.89,0,0,141.95,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,0,25.18,0,3.15,12.59,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,283.23,18.88,0,0,97.56,0,3.15,3.15,0,15.73,3.15,0,0,0,0,0
 14-21,0,0,1,0,6,0,2,0,0,2,0,1,0,0,0,0,0,5,0,0,1,63,3,0,0,2,0,0,0,9,1,6,22,0,0,0,0
 24-34,0,0,0,0,1.64,0,4.93,0,0,0.82,0,0,0.82,0,0,0,0,8.21,0,0,4.93,115.74,0.82,1.64,1.64,0,0,0,0,0,0,1.64,19.7,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,22.56,0,0,4.83,0,0,0,0,0,0,0,3.22,0,0,2.42,111.18,0,2.42,0.81,0,0,1.61,0,0,0,0,24.98,0,0.81,0,0
 48-58,0,0,0,0,2.3,0.57,33.85,0,0.57,6.31,0,0,0.57,0,0.57,1.15,0.57,10.9,0,0.57,1.15,82.05,0,1.72,1.15,0,0,0.57,0,0,0,0,17.21,0,0,0,0.57
 60-70,0,0,0,0,0.98,0,24.54,0,0,9.82,0,0,0,0,0,0.98,0.98,13.74,0.98,0,0,68.71,0,1.96,0,0,0,1.96,0,0,0,0,7.85,0,0.98,0,0
 72-82,0,0,0,0,1.96,0,37.3,0.98,0,8.83,1.96,0,0,0,0,0.98,0,17.67,0,0,2.94,68.72,0,0.98,0,0,0,0.98,0,0,0,0,7.85,0.98,0.98,0,0.98
 84-94,0,0,0,0,2.12,0,27.61,1.06,0,4.25,0,0,0,0,2.12,0,1.06,11.68,1.06,0,1.06,37.17,0,0,1.06,0,1.06,2.12,0,0,0,0,3.19,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,12.02,0,1.09,8.74,0,0,0,1.09,0,2.19,0,15.3,0,2.19,0,25.14,0,3.28,1.09,0,0,0,0,0,0,0,1.09,0,2.19,1.09,1.09
108-118,0,0,0,0,3.06,0,9.19,0,0.77,6.89,0,0,0,0.77,0,0,0,6.89,0,0.77,1.53,32.17,0,0.77,0,0,0.77,1.53,0,0,0,0,0.77,0,0,0,0.77
120,0,0,0,0,9.8,3.92,9.8,1.96,0,9.8,0,0,0,0,0,0,0,11.76,0,1.96,0,52.91,0,1.96,3.92,0,0,0,0,0,0,0,3.92,0,0,0,1.96
