stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0
  5-6,12.26,122.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,10.51,0,0,0,0,0,5.26,0,0,0,0,0,0,0,60.46,2.63,0,0,31.54,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,59.79,6.29,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,0,3,0,0,0,2,1,1,0,2,0,0,0,2,1,20,1,0,0,1,0,0,4,0,5,15,0,0,0,0,0
 24-34,0,0,0,0.82,3.28,0,9.03,0,0,0.82,0,0,0,0,0,0,0.82,0,5.75,3.28,60.74,0.82,0,2.46,0,0,1.64,0,0,1.64,16.42,0,0,0,0,0
 36-46,0,0,0,0,1.61,0,8.06,0,0,0,0.81,0,0,0,0,0,0,0,5.64,0.81,51.56,0,0,0,0,0,1.61,0,0,0,12.09,0,0,1.61,0,0
 48-58,0,0,0,0,0.57,0,18.94,1.15,1.15,0.57,5.16,0.57,0,0,0,0,0,0,10.9,2.3,43.04,0,0.57,1.15,0,0,2.3,0,0,0,9.75,0,0,0,0,0
 60-70,0,0,0.98,0,2.94,0,37.3,0,0,0.98,8.83,0,0,0.98,0,0,0,0.98,15.7,2.94,74.6,0,0,0.98,0,0.98,2.94,0,1.96,0,15.7,0,0,0,0,0
 72-82,0,0,0.98,0,3.93,0,23.56,0,0,0,1.96,1.96,0,0,0,0.98,0,0,17.67,0,37.3,0,0,2.94,0,0,0,0,0,0,6.87,0,0,0,0.98,0
 84-94,0,0,0,0,2.12,1.06,10.62,0,0,1.06,2.12,1.06,0,1.06,0,0,0,0,9.56,2.12,19.12,1.06,1.06,0,0,0,2.12,0,0,0,7.43,0,1.06,1.06,0,0
 96-106,0,0,0,0,2.19,1.09,13.11,0,0,1.09,2.19,0,0,1.09,0,0,0,0,2.19,0,18.58,0,1.09,0,0,0,1.09,0,0,0,2.19,1.09,0,1.09,0,1.09
108-118,0,0,0,0,3.06,0,12.26,0,0,0,0.77,0.77,0,0,0,0,0,0,5.36,0.77,22.98,0,0,0.77,0,0,1.53,0,0,0,2.3,0,0.77,0.77,0,0
120,0,0,0,0,0,0,5.88,0,0,1.96,7.84,3.92,0,0,1.96,0,0,0,9.8,1.96,13.72,0,1.96,0,0,0,3.92,0,0,0,3.92,0,0,0,0,0
