stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,289.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,373.91,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,2.63,0,15.77,0,0,0,21.03,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,155.09,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,15.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,144.76,0,0,0,37.76,0,0,3.15,9.44,0,0,3.15,0,0,0,0,0
 14-21,0,0,1,5,52,15,0,19,0,0,0,8,2,0,1,0,1,0,0,0,2,37,0,23,450,5,3,5,8,0,2,41,3,0,39,133,0,0,1,0,0
 24-34,0,0,0,2.46,21.34,1.64,0,73.88,0,3.28,1.64,9.03,2.46,0,2.46,0,0,0.82,0,1.64,1.64,44.33,0,15.6,548.33,0.82,3.28,5.75,0,0,8.21,0.82,0,0.82,7.39,120.67,0,0,13.95,0,0.82
 36-46,0,0,0,0,8.86,0.81,0,100.71,0,0.81,2.42,22.56,0,0,0.81,1.61,0.81,0,0.81,0.81,0.81,54.79,1.61,18.53,406.86,1.61,2.42,3.22,0,0.81,9.67,0,0,0,0,109.57,0,0,8.86,0,0.81
 48-58,0,0,0,0,6.31,0,0,123.94,0,1.15,3.44,33.28,0,0.57,0,0.57,1.15,0,1.72,0,0.57,64.84,1.72,9.75,234.11,1.15,0.57,4.59,0,0.57,5.16,0,1.15,0,0,53.94,0,0.57,4.02,0,1.15
 60-70,0,0,0,0,2.94,0,0,104.04,0,1.96,1.96,39.26,3.93,0,0,1.96,0.98,0.98,1.96,0.98,0.98,60.85,0.98,15.7,220.84,0,0.98,2.94,0,0,6.87,0,0,0.98,0,27.48,0,0,4.91,0,0.98
 72-82,0,0,0.98,0,3.93,2.94,0,107,0,0,4.91,51.05,5.89,0.98,0.98,2.94,1.96,0,2.94,1.96,0,107.98,3.93,15.71,182.59,0,1.96,4.91,0,1.96,2.94,0,2.94,0,0,15.71,1.96,2.94,5.89,0.98,0
 84-94,0,0,0,0,11.68,1.06,0,58.41,0,0,3.19,26.55,3.19,0,1.06,0,1.06,6.37,1.06,1.06,0,61.6,1.06,9.56,80.71,1.06,2.12,2.12,0,0,9.56,0,1.06,0,0,10.62,1.06,1.06,4.25,0,1.06
 96-106,0,0,2.19,0,5.46,0,1.09,27.32,0,4.37,1.09,29.51,2.19,0,2.19,4.37,1.09,1.09,0,1.09,0,63.39,1.09,15.3,59.01,0,1.09,4.37,0,0,12.02,0,1.09,1.09,0,4.37,0,1.09,6.56,1.09,1.09
108-118,0,0,0,0,7.66,0.77,0.77,22.98,0,0,2.3,24.51,2.3,0,0,0.77,0.77,0.77,2.3,1.53,0.77,47.49,3.06,7.66,75.06,0.77,0,2.3,0,0.77,6.13,0,0.77,0.77,0,3.06,2.3,1.53,1.53,0,0
120,0,0,0,0,19.6,3.92,0,21.56,1.96,0,1.96,21.56,1.96,0,1.96,0,1.96,0,1.96,0,0,27.44,1.96,5.88,66.63,1.96,1.96,3.92,0,0,5.88,0,0,0,0,1.96,1.96,0,3.92,0,0
