stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,muscle,neural,notochord,otic,periderm,pronephros,spinal_cord,taste,vasculature,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0.82,0,0,0.82,0,1.64,0,0,0,0,0,0,10.67,0.82,0,0,7.39,0,0,0,0,1.64,0,0,0
 36-46,0,0,4.03,0,0,0,0,1.61,0,0.81,0.81,0,0,0,7.25,0,0,0.81,10.47,0,0.81,1.61,0,3.22,0,0.81,0
 48-58,0.57,0,1.72,0,0,3.44,0,0,0,1.15,1.15,0,0,0,17.79,0,0.57,0.57,8.61,1.15,0.57,0,0,1.15,0,0,0
 60-70,0,0,0,0,0,4.91,0,0,0,1.96,3.93,0,0.98,0,40.24,0,0,0,12.76,0,0,0.98,0,0.98,0.98,0,0
 72-82,0,0,3.93,0,0,9.82,0,0,0,2.94,2.94,0,0,0.98,109.95,3.93,0,0,25.52,0,0.98,1.96,0,1.96,0,0.98,0
 84-94,0,1.06,0,0,0,2.12,0,0,0,1.06,2.12,2.12,1.06,0,424.81,0,0,0,19.12,0,0,5.31,0,1.06,0,0,0
 96-106,0,0,3.28,1.09,2.19,12.02,0,0,1.09,2.19,3.28,1.09,1.09,1.09,624.02,0,1.09,0,68.85,0,0,6.56,1.09,2.19,0,0,0
108-118,0,0,3.06,2.3,0.77,9.19,0.77,0,0,2.3,0.77,0,0.77,0,1149.71,8.43,0,1.53,46.72,0,0,0.77,2.3,0.77,0,0.77,0.77
120,0,0,3.92,1.96,0,1.96,0,0,1.96,3.92,1.96,0,0,0,478.19,1.96,0,0,37.24,0,0,3.92,1.96,0,0,1.96,0
