stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,iridophores,lateral.line,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,7.89,0,0,0,0,0,0,0,0,15.77,2.63,0,0,2.63,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,12.59,0,0,0,0,0,0,0,0,91.26,0,0,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,5,0,4,0,0,1,0,0,0,0,0,55,1,0,0,0,0,0,0,1,33,0,0
 24-34,0,0,2.46,1.64,2.46,0,0,1.64,0,0,0,2.46,0.82,74.7,0,0,0.82,0.82,0,0,0.82,1.64,45.97,0,0
 36-46,0,0,0,0,5.64,0,0,1.61,0,0.81,0,1.61,1.61,59.62,0,0,0,0,0,0,0,0,64.45,0,0
 48-58,0,0,0.57,0,6.89,0,0.57,1.72,0,0.57,1.15,0,0.57,34.43,0,0.57,1.15,0,0,0,0,0,41.89,0,1.15
 60-70,0,0,0,0,10.8,0,0,1.96,0.98,0,0,0.98,0,42.21,0,0,0.98,0,0.98,0,0,0,33.37,0,0.98
 72-82,0,0,3.93,0,16.69,0,1.96,6.87,0,1.96,0,1.96,0,52.03,0,0.98,0.98,0,0,2.94,0,0,20.61,0.98,0.98
 84-94,0,0,0,0,7.43,0,0,2.12,1.06,0,1.06,3.19,1.06,25.49,0,0,3.19,0,0,1.06,0,0,9.56,0,0
 96-106,0,0,0,0,13.11,0,0,6.56,0,2.19,0,6.56,1.09,29.51,0,0,5.46,0,0,1.09,0,0,5.46,1.09,0
108-118,0,0,0,0,16.09,0.77,0,3.06,3.06,0,0,3.06,0,29.87,0,0,5.36,0,0,1.53,0,0,3.83,0,0.77
120,0,0,1.96,0,11.76,0,0,7.84,0,0,0,0,0,39.2,0,0,0,0,0,5.88,0,0,3.92,0,0
