stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,mesenchyme,mural.cell,muscle,neural,olfactory,periderm,presomitic.mesoderm,spinal.cord,vasculature
 14-21,1,1,0,0,0,0,0,0,0,0,0,14,0,1,2,5,0
 24-34,0.82,3.28,0,0,0,0,0,0,2.46,0,0,13.13,0,0.82,0,0.82,0
 36-46,0,0.81,0,0,0,0,0,0,0.81,0,0,10.47,0,0,0,2.42,0
 48-58,0,1.72,0,0.57,0.57,0,0,0,1.15,0.57,0.57,5.16,0.57,0,0,0,0
 60-70,0,0,0.98,0,0.98,0,0,0.98,0,0,0,7.85,0,0.98,0,0,0
 72-82,0,0,0,0,0.98,0,0,0,0,0.98,0.98,2.94,0,0,0,0,0
 84-94,1.06,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0,0
 96-106,0,1.09,1.09,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0
108-118,1.53,0.77,0,0.77,0,0.77,0,0,1.53,0,0.77,4.6,0,0,0,0,1.53
120,0,0,0,0,3.92,0,1.96,0,0,0,0,1.96,0,0,0,0,0
