stage,axial,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,5,1,4,0,0,0,0,0,1,0,0,0,2,4,0,2,7,1,0,0,0,0,1,0,11,1,0,0,0,0,2
 24-34,0,0,0.82,0,1.64,0,0,0,0.82,0,6.57,0,1.64,0,4.93,23.8,0.82,14.78,14.78,0,0,5.75,0,0,0.82,0,28.73,0.82,0,0,0.82,0,4.93
 36-46,0,0,0,0,0.81,1.61,0,0,0,0,0.81,1.61,1.61,0,3.22,31.42,2.42,11.28,8.86,0,0.81,4.83,0,0,0,0.81,16.11,2.42,0,0.81,0,0,0
 48-58,0,0,0,0,1.72,0,1.15,0,0.57,0,0,0.57,3.44,0,1.15,43.61,5.74,13.77,4.02,0,0.57,6.89,0,1.15,0.57,0,7.46,2.3,0,1.15,0,0,1.15
 60-70,0,0,0,0,0.98,0,0,0.98,0,0,0.98,0,10.8,0,1.96,37.3,1.96,0,6.87,0,0,3.93,0,0,0,0,7.85,0,0,1.96,0,0,0
 72-82,0,0,1.96,0,1.96,0,2.94,0.98,0.98,0,0.98,0,23.56,0,0,55.95,14.72,4.91,11.78,0,0,13.74,0,0.98,1.96,0,35.34,0,0,3.93,0,2.94,0.98
 84-94,0,0,0,1.06,2.12,1.06,0,1.06,0,1.06,7.43,0,50.98,0,2.12,44.61,9.56,7.43,2.12,0,15.93,14.87,0,1.06,2.12,0,65.85,1.06,0,5.31,0,3.19,0
 96-106,0,0,2.19,0,3.28,1.09,1.09,2.19,1.09,0,3.28,0,78.68,3.28,1.09,28.41,3.28,3.28,8.74,0,25.14,16.39,0,4.37,3.28,0,69.94,0,0,4.37,1.09,8.74,0
108-118,0,0,3.06,0.77,3.83,0,0.77,0.77,0,0.77,6.89,0,53.62,0.77,2.3,28.34,5.36,1.53,4.6,0,12.26,16.09,0,4.6,2.3,0,62.04,0,0.77,0,0,2.3,0.77
120,0,0,1.96,1.96,9.8,0,0,1.96,0,7.84,3.92,0,35.28,1.96,0,13.72,1.96,3.92,9.8,0,7.84,15.68,0,0,0,0,43.12,0,0,1.96,0,0,1.96
