stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,7,3,0,0,0,0,0,0,1,0,0,0,3,10,0,6,12,3,0,0,0,0,5,6,11,12,0,0,2,0,0
 24-34,0,0,0.82,2.46,4.93,0,0,0,2.46,0,0,0,0,0,0,0.82,19.7,0,14.78,14.78,3.28,0,0,0,0,0,1.64,2.46,5.75,0,0,9.85,0,0
 36-46,0,0,0,0,1.61,1.61,0,1.61,4.03,0,0,0.81,0,0,0,3.22,22.56,0,4.83,8.06,5.64,0.81,0,0,0,0,0,0.81,1.61,0,0.81,8.86,0,1.61
 48-58,0,0,0,0.57,0.57,0,0,0.57,4.59,0,0,0,0.57,0,0,3.44,26.4,0,10.33,4.59,0.57,0,1.15,0.57,0,0,0,0,1.72,0,0,3.44,0,1.72
 60-70,0,0,0,0,0.98,0,0.98,0,8.83,0,0.98,0,2.94,0,0,2.94,53.98,0,3.93,1.96,0,0,0,0.98,0,0,0,0,0,0,0.98,1.96,0,4.91
 72-82,0,0,0,0,1.96,0,0,0.98,6.87,1.96,0,0,0,0,0,0,47.12,0.98,4.91,1.96,0,0.98,0.98,0,0,0,0,0,1.96,0,0,5.89,0,3.93
 84-94,0,0,0,1.06,7.43,0,0,1.06,7.43,0,0,0,7.43,0,0,3.19,48.85,0,1.06,1.06,2.12,0,0,0,0,0,0,0,2.12,0,0,7.43,0,4.25
 96-106,0,0,0,0,2.19,0,0,1.09,8.74,1.09,0,0,3.28,1.09,0,2.19,32.79,0,1.09,9.84,1.09,0,0,1.09,1.09,0,0,0,2.19,0,0,5.46,2.19,4.37
108-118,0,0,0,1.53,0.77,2.3,0,0.77,3.83,3.06,0,0,11.49,0.77,0.77,0.77,28.34,0.77,1.53,5.36,0.77,0,0.77,0,0,0,0,0,0,0.77,1.53,4.6,0.77,10.72
120,0,0,0,0,0,0,1.96,0,3.92,0,0,0,7.84,0,0,0,11.76,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,3.92,0,1.96
