stage,epidermis,eye,glial,heart,mesenchyme,muscle,neural,olfactory,periderm,spinal.cord,taste,vasculature
  7-9,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,3.15,0,0,0,0,0
 14-21,0,1,0,0,0,0,3,0,0,0,0,0
 24-34,0,0,0,0,0.82,0,8.21,0,0,0,0,0
 36-46,0,0.81,0,0,0.81,0,8.86,0,0,0.81,0,0.81
 48-58,0.57,4.59,0,0,0.57,0,2.3,0.57,0,0,0,0
 60-70,0,0.98,0,0,0,0,2.94,0,0,0.98,0,0
 72-82,0,0.98,0,0.98,0,0,4.91,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,0,2.12,0,0,0,1.06,0
 96-106,0,0,1.09,0,0,1.09,1.09,0,0,0,0,0
108-118,0,1.53,0.77,0,0,0,0,0,0.77,0,0,0
120,0,1.96,0,0,1.96,0,1.96,0,0,0,0,0
