stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,mesenchyme,mural_cell,muscle,neural,otic,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle
 14-21,0,2,0,0,0,0,0,1,0,0,9,0,0,2,4,0,0
 24-34,0.82,0.82,0,3.28,0,0.82,0,1.64,0,0.82,16.42,0,0,0,3.28,0,0
 36-46,0,0,0,5.64,0,1.61,0,2.42,0,0,21.75,0,0,0,4.83,0,0
 48-58,0,0.57,0,12.05,0,1.72,0,2.87,0,0,21.23,0,0,0,5.16,0,0
 60-70,0,0,0,15.7,0.98,3.93,0,3.93,0.98,0,22.58,0,0,0,2.94,0,0
 72-82,0,0,0,9.82,0,5.89,0,2.94,0,0,18.65,0.98,0,0,0,1.96,0.98
 84-94,0,1.06,1.06,3.19,0,0,0,4.25,0,1.06,7.43,0,0,0,3.19,0,0
 96-106,0,0,0,1.09,2.19,1.09,1.09,9.84,0,0,8.74,0,0,0,0,0,0
108-118,0,0,0,2.3,0,1.53,0,0.77,0,0.77,5.36,0,0.77,0,0.77,0,0
120,0,1.96,1.96,1.96,0,3.92,0,1.96,0,0,3.92,0,0,0,0,0,0
