stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.78,0,0,0,0,0,0,0,9.85,0,0,0,0
 36-46,0,0,0,0,0,7.25,0,0,0,0,0,0,0,0,0,0,0,0,0,33.03,0,0,0,0,0,0,0,17.72,0,0,0,0
 48-58,0,0,0,0,0,16.64,0,0,0,0.57,0,0,0,0,0,0,0,0,0,39.02,0,0.57,0,0,0,0.57,0,20.66,0,0,0,0
 60-70,0,0,0,0,0,10.8,0,0,0,1.96,2.94,0,0,0,0.98,0.98,0,0,0,46.13,0,0,0,0,0,0,0,10.8,0,0,0,0
 72-82,0,0,0,0,0.98,7.85,0,0,0,1.96,37.3,0,0,0,0,2.94,0,0,0,35.34,0,0,0,0,0,0,0,5.89,0.98,0,0,0
 84-94,0,1.06,1.06,0,0,7.43,0,0,0,0,88.15,0,0,0,0,3.19,0,0,0,24.43,0,0,0,0,0,0,0,2.12,0,0,1.06,0
 96-106,0,4.37,1.09,2.19,1.09,17.49,0,2.19,0,5.46,228.4,1.09,0,0,1.09,6.56,0,1.09,1.09,49.18,0,0,1.09,0,1.09,5.46,0,2.19,0,2.19,0,0
108-118,0,0,6.13,0.77,2.3,13.02,1.53,0.77,0.77,2.3,284.94,0,0.77,0.77,3.83,5.36,0,0.77,0.77,48.26,0,0,0.77,0,0,5.36,0,2.3,0,0,0,0.77
120,0,0,3.92,3.92,0,13.72,0,1.96,0,5.88,231.25,1.96,0,0,7.84,5.88,1.96,0,0,52.91,0,0,1.96,0,0,3.92,0,7.84,0,0,0,0
