stage,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,xanthophores
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,17,0,0,1,0,0,2,0,0,2,12,0,0,0
 24-34,0.82,0,4.1,0,0,0.82,0,0,0,0,0,0,0,0,1.64,0,0,0,27.09,0.82,0,0,0,0,0,0,0,0.82,9.03,0,0,0
 36-46,0,0,4.03,0,0,2.42,0.81,1.61,0,0,0,0,0,0,4.03,0,0,0,34.64,0,0.81,0,0,0,0,0,0,0,6.45,0,0,0
 48-58,0.57,2.3,7.46,0,0.57,2.3,0,0,0,0,0,0,0,0.57,4.59,0,0,0,25.25,0,0,0,0,0,0,0.57,0.57,0,3.44,0,0.57,0
 60-70,0.98,6.87,2.94,0,0,0.98,0,0,0,0,0,0,0,0,3.93,0,0,0,21.59,0,0.98,0,0.98,0,0,0.98,0,0,4.91,0,0,0
 72-82,0.98,51.05,5.89,0,0.98,3.93,0,0,0.98,0,0.98,0.98,0,0,10.8,0,0,2.94,31.41,0,0.98,0,0,2.94,0,0,0,0,7.85,0,3.93,0.98
 84-94,1.06,49.92,6.37,0,0,2.12,0,0,0,0,0,0,0,0,2.12,1.06,0,0,6.37,0,0,0,0,2.12,0,2.12,0,0,2.12,0,0,0
 96-106,0,95.08,6.56,0,0,7.65,0,0,4.37,1.09,0,0,2.19,0,9.84,0,1.09,1.09,15.3,1.09,1.09,0,0,3.28,0,1.09,0,0,0,1.09,2.19,0
108-118,0.77,125.62,4.6,2.3,0,2.3,0.77,0,4.6,0,0,0,0,0,5.36,0,0,0.77,15.32,0,1.53,0,0,2.3,0,0,0,0,0,0,2.3,0
120,1.96,166.58,5.88,0,0,5.88,1.96,0,0,0,0,0,0,0,5.88,0,0,1.96,13.72,0,0,0,0,3.92,0,0,0,0,1.96,0,7.84,0
