stage,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,iridophores,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,0,0,0,0,0,1,0,0,0,0,14,0,0,6,34,1,0,0,0,0,1,1,4,9,0,0,0,0
 24-34,0,0,3.28,0,0,1.64,0,0,0,0,0,0,13.13,0,0,8.21,30.37,0,0,0,0,0,0,0,0.82,1.64,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0,0,0,0,26.59,0,0,8.06,37.87,0,0.81,0,0,0.81,0,0,0,3.22,0,0,0,0
 48-58,0.57,0,2.87,0,0.57,2.3,2.3,0,0.57,0,0,0,26.97,0,0,3.44,24.1,0,0,0,0,0,0,0,0,3.44,0,0.57,0,0
 60-70,0,0,3.93,0,0,2.94,0,0,0,0,0,0,38.28,0,0.98,3.93,46.13,0,0,0,0.98,0.98,0,0,0,1.96,0,0,0,0
 72-82,0,0,21.6,0,0,6.87,3.93,0,0,0.98,0,0,95.22,0.98,1.96,7.85,80.5,0,0,0,0,0.98,0,0,0,4.91,0,0,0.98,0
 84-94,0,0,23.36,0,0,5.31,3.19,1.06,0,0,2.12,0,39.3,0,0,3.19,71.16,0,0,0,0,5.31,0,0,0,2.12,0,0,1.06,0
 96-106,1.09,1.09,27.32,0,0,7.65,3.28,1.09,0,0,0,1.09,69.94,0,1.09,8.74,75.41,0,1.09,0,0,3.28,0,0,0,0,1.09,3.28,2.19,0
108-118,3.06,0,20.68,0.77,1.53,5.36,3.06,0,0,0,0.77,0,94.98,0.77,2.3,5.36,78.13,0.77,0,0.77,0,3.83,0,0,0,1.53,0.77,0,0.77,0.77
120,1.96,0,11.76,0,0,1.96,0,0,0,0,0,0,39.2,0,0,7.84,82.31,0,0,0,0,0,0,0,0,1.96,1.96,0,0,1.96
