stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,3.15,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72.38,0,0,0,6.29,0,3.15,6.29,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,5,3,3,0,0,1,0,1,0,0,0,0,0,0,1,4,0,0,2,43,0,3,0,0,0,2,2,0,8,12,14,0,0,0,0,0
 24-34,0,0,0,0.82,4.1,1.64,19.7,0,0,0.82,0,0,0.82,0,0.82,0,2.46,0,3.28,9.03,0.82,0,4.1,114.1,9.85,1.64,5.75,0,0,3.28,0,0,0,0.82,27.09,0,0,13.95,0,9.85
 36-46,0,0,0,0,2.42,5.64,16.11,0,0,1.61,0.81,0,0,0.81,0,0.81,0.81,0,7.25,5.64,0,0,0.81,111.99,5.64,2.42,0.81,0,0,1.61,0,0,0,0,15.31,0,0,12.09,0,9.67
 48-58,0,0,0,0,2.87,0.57,28.69,0,1.15,6.31,0,1.15,0.57,0.57,0.57,0.57,0.57,0,8.03,14.92,0,0,1.15,125.66,4.02,1.72,2.87,0,0,0.57,0,0,0.57,0,21.23,0,0,12.05,0,8.03
 60-70,0,0,0,0,3.93,0.98,33.37,0,0,7.85,1.96,0,0.98,0.98,0.98,1.96,0.98,0,2.94,9.82,0,0.98,0.98,196.3,4.91,0,0.98,0,0.98,0,0,0,0,0,12.76,0,0,10.8,0,7.85
 72-82,0,0,0,0,4.91,3.93,47.12,0.98,0.98,12.76,0.98,0,0.98,3.93,2.94,1.96,2.94,0,7.85,21.6,0,1.96,0,188.48,12.76,1.96,7.85,0,0,0.98,0,0.98,0.98,0,5.89,0,1.96,14.72,0,2.94
 84-94,0,0,0,0,2.12,5.31,22.3,0,0,3.19,1.06,0,0,4.25,1.06,5.31,7.43,1.06,13.81,16.99,0,1.06,2.12,100.89,23.36,0,13.81,0,0,2.12,0,0,0,0,2.12,2.12,1.06,14.87,1.06,4.25
 96-106,0,0,0,0,5.46,1.09,13.11,1.09,0,3.28,1.09,0,1.09,10.93,2.19,4.37,5.46,2.19,7.65,15.3,0,0,0,72.13,15.3,1.09,12.02,0,0,2.19,0,0,0,0,1.09,3.28,0,17.49,1.09,14.21
108-118,0,0,0.77,0,4.6,1.53,8.43,0.77,0,3.83,3.83,0,0,9.19,0.77,6.89,6.89,0,8.43,9.19,0.77,0.77,3.83,99.58,19.92,0,9.96,0,0,0.77,0,0,0.77,0,2.3,5.36,0,18.38,0,12.26
120,0,0,0,0,5.88,7.84,11.76,1.96,0,5.88,5.88,0,1.96,9.8,0,5.88,9.8,0,7.84,13.72,0,0,3.92,131.31,15.68,0,1.96,0,0,0,0,0,0,0,0,0,1.96,17.64,0,7.84
