stage,axial,blastomeres,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,liver,mesenchyme,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,pgc,spinal.cord,vasculature
  3-4,26.36,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0
  5-6,12.26,134.85,0,0,0,0,0,0,0,0,0,0,0,6.13,0,6.13,6.13,0,0,0
  7-9,0,2.63,0,0,7.89,0,0,0,0,0,0,0,44.69,5.26,0,18.4,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,12.59,0,0,9.44,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,1,0,4,0,0,1,0,0,1,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,1.64,0,1.64,0,0,0,0,0,0,0
 36-46,0,0,0,0,11.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,113.61,0,0,0.57,0,0,0,0,4.02,0,0,0,0,0,0,0
 60-70,0,0,0,0,331.75,0,0,1.96,0,0,0,0,5.89,0,0,0,0,0,0,0
 72-82,0,0,1.96,0.98,414.26,0,0.98,0,0,0.98,0,0,1.96,0,0.98,0,0.98,0,0,0
 84-94,0,0,2.12,0,351.53,1.06,0,0,0,0,2.12,0,1.06,0,0,0,2.12,0,0,0
 96-106,0,0,0,0,216.38,0,1.09,0,0,0,0,1.09,0,0,0,0,0,0,0,1.09
108-118,0,0,0.77,0,147.06,0,0,0,0.77,0,0,0,3.06,0,0,0,0,0,0,0
120,0,0,1.96,0,137.18,0,0,0,0,0,0,0,3.92,0,0,0,0,1.96,0,0
