stage,epidermis,erythrocytes,eye,glial,ionocyte,liver,mesenchyme,muscle,neural,notochord,otic,periderm,slow.muscle,spinal.cord,vasculature,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
 24-34,0,0,2.46,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,4.83,0,0.81,0,0,0,0.81,0,0.81,0,0,0,0,0
 48-58,0,0,27.54,0.57,0,0,0,0.57,0,0,0,0.57,0,1.15,0,0
 60-70,0.98,0,208.08,0.98,0,0,2.94,0,0.98,0,0,0,0,0,0,0
 72-82,0,1.96,242.47,0,0,0,1.96,0,2.94,0,0.98,0,0.98,0,0,0
 84-94,0,2.12,206.04,0,0,0,1.06,0,0,0,0,1.06,0,0,0,0
 96-106,1.09,1.09,172.67,1.09,0,0,0,0,4.37,0,0,0,0,0,1.09,0
108-118,0.77,0.77,120.26,0,0,0.77,0.77,0.77,1.53,0,0,0,0,0,0,0.77
120,0,0,76.43,0,0,0,1.96,0,1.96,0,0,0,0,0,1.96,0
