stage,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.mesenchyme,gut,heart,immune,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,spinal.cord,vasculature,visceral.smooth.muscle
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0
 14-21,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
 24-34,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1.64,2.46,0,0,0.82,0,0,0,2.46,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0.81,0,0,0,0,4.83,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0.57,0,0,0,0,0,0,1.72,0,0.57,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0.98,0,0,1.96,0,0.98,0,0,0,0.98,0,0,0.98,2.94,0,0,0,0,0,0,2.94,0.98,0.98,0
 84-94,1.06,0,0,2.12,1.06,0,0,0,1.06,0,4.25,0,0,0,2.12,0,0,0,0,0,0,4.25,0,2.12,1.06
 96-106,0,0,1.09,4.37,2.19,0,0,0,0,0,3.28,0,1.09,0,1.09,0,0,0,0,0,2.19,0,0,2.19,0
108-118,2.3,0.77,0,19.15,0,0.77,0,0,0,0.77,10.72,0.77,0,0,0.77,0,0,0,0,0.77,0.77,6.89,0,2.3,0
120,0,1.96,0,1.96,0,0,0,1.96,0,1.96,1.96,0,0,0,1.96,1.96,0,0,0,0,0,5.88,0,1.96,0
