stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,13.18,421.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,183.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.8,0,0,0,31.54,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,9.44,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47.2,0,0,0,9.44,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,0,0,9,0,0,7,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,3,26,1,0,2,0,0,19,0,2,2,5,18,0,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,8.21,0,0,0,0.82,0,0.82,0,1.64,0,0,0,0,4.93,0,0,1.64,46.79,0,1.64,1.64,0,0,18.88,0,0,0,0,16.42,0,0,0,0,0
 36-46,0,0,0,0,0.81,0.81,0,18.53,0,0,0,4.83,0,0,0,0,0,1.61,0,0.81,4.03,0.81,0,4.03,52.37,0,0.81,0.81,0,0,17.72,0,0,0.81,0,13.7,0,0,1.61,0,0.81
 48-58,0,0,0,0,0.57,0.57,0,16.07,0,1.15,0,6.31,0,0.57,0,1.15,0,0,0,1.15,4.59,1.15,0,1.15,56.23,0,1.15,1.15,0,0,10.33,0,0,0,0,8.61,0,0,0.57,0,0
 60-70,0,0,0,0,1.96,0,0,28.46,0,1.96,0.98,5.89,1.96,0.98,0,0.98,0,0,0,0,8.83,1.96,0,1.96,65.76,0,0,0,0,0.98,10.8,0,0,0,0,7.85,0,0,0.98,0,0
 72-82,0,0,0.98,0,0.98,0,0,15.71,0,0.98,0,7.85,0.98,0.98,0.98,0,0,1.96,0.98,0.98,8.83,0,0,2.94,47.12,0.98,2.94,0,0,0,14.72,0,0,0,0,1.96,0.98,0,1.96,0,0
 84-94,0,0,0,0,2.12,0,0,14.87,0,0,0,4.25,3.19,0,0,3.19,0,0,0,0,9.56,0,0,1.06,31.86,0,1.06,0,0,0,32.92,0,0,0,0,1.06,0,0,0,0,0
 96-106,0,0,0,0,3.28,0,0,15.3,1.09,0,0,1.09,2.19,0,0,2.19,1.09,2.19,0,0,9.84,2.19,1.09,0,21.86,1.09,1.09,2.19,0,0,36.06,0,0,0,0,0,3.28,0,3.28,1.09,0
108-118,0,0,0.77,0,4.6,0.77,0.77,5.36,0.77,0,0,2.3,2.3,0,0.77,2.3,0.77,0.77,0,0,3.83,0.77,0.77,1.53,17.62,0,0.77,0,0,0,13.79,0,0,0.77,0,0,0,1.53,3.83,0,0
120,0,0,1.96,0,7.84,0,0,11.76,0,1.96,0,1.96,0,0,0,1.96,1.96,0,1.96,0,3.92,0,0,0,9.8,0,0,0,0,0,15.68,0,0,0,0,0,1.96,0,0,0,0
